b0,A,B,C,D,E,F,G,Result,Delta
196,-19,-19,-13,15,-15,16,13,196.8764818625001,2.15417514937144e-008
196,-19,-19,-4,17,10,-6,16,196.8764818521673,1.120895376516273e-008
196,-19,-19,3,11,17,-9,5,196.8764817788333,6.212505354596942e-008
196,-19,-19,15,13,11,13,-9,196.8764817962066,4.475168680073693e-008
196,-19,-18,-16,-16,-9,4,-15,196.8764818059827,3.497564193821745e-008
196,-19,-18,-3,-7,3,-5,4,196.8764818480202,7.061856877044193e-009
196,-19,-18,4,-19,-4,-8,-11,196.8764818759624,3.500403522593842e-008
196,-19,-17,-19,16,-14,15,13,196.8764819209398,7.998150408639049e-008
196,-19,-17,-18,-13,14,-10,-15,196.8764819027263,6.176796318868583e-008
196,-19,-17,-15,-4,-11,-2,7,196.8764817841972,5.676116643371643e-008
196,-19,-17,-10,-13,-8,-13,5,196.8764818043862,3.657208935692324e-008
196,-19,-17,3,-15,19,-17,-17,196.8764817524095,8.854883049025375e-008
196,-19,-16,-15,9,4,5,3,196.8764819265715,8.561320896660618e-008
196,-19,-16,6,-16,-17,8,-10,196.8764818527511,1.179279252028209e-008
196,-19,-16,12,-9,4,-12,-4,196.8764817830637,5.789465262751037e-008
196,-19,-16,12,13,9,19,-13,196.8764817930791,4.787918328474916e-008
196,-19,-15,-19,-11,-8,-9,3,196.8764818424299,1.471534005759168e-009
196,-19,-15,-10,-6,14,-17,-1,196.8764819138567,7.289835934898292e-008
196,-19,-15,-6,18,4,17,0,196.8764818129147,2.804361542985134e-008
196,-19,-15,16,-6,-5,-2,-1,196.8764817563051,8.465326573059429e-008
196,-19,-14,-4,9,5,15,-9,196.8764817961584,4.47998900199309e-008
196,-19,-14,19,19,-6,10,17,196.8764817870358,5.392249136093597e-008
196,-19,-13,-2,-7,-6,-16,13,196.8764817672517,7.370664434347418e-008
196,-19,-13,0,5,-18,9,14,196.876481936719,9.576069714967161e-008
196,-19,-13,13,-18,-16,-12,7,196.8764817834941,5.746426268160576e-008
196,-19,-13,13,-11,-12,-19,18,196.8764818292222,1.173609120996844e-008
196,-19,-13,16,6,-4,10,0,196.8764819205469,7.958860237522458e-008
196,-19,-12,-16,19,16,18,-12,196.8764818013379,3.962040295846236e-008
196,-19,-12,-4,18,-4,13,13,196.8764818298213,1.113704684030381e-008
196,-19,-12,4,-10,-17,-1,6,196.8764818612283,2.026999368354154e-008
196,-19,-12,16,14,9,-4,11,196.8764818289587,1.1999674143226e-008
196,-19,-11,1,17,-8,18,8,196.876481885825,4.486665261538292e-008
196,-19,-11,19,18,-8,9,19,196.8764818249787,1.597962295818434e-008
196,-19,-10,-12,11,18,1,-6,196.876481882737,4.177866230747895e-008
196,-19,-10,-10,12,-11,12,19,196.876481922071,8.111271654343e-008
196,-19,-10,-3,15,2,3,13,196.8764819046838,6.372548000399547e-008
196,-19,-10,10,-18,-3,0,-19,196.8764817623748,7.858349704292778e-008
196,-19,-10,17,-13,5,-14,-5,196.8764819234915,8.253317673734273e-008
196,-19,-10,17,-10,14,-14,-10,196.8764818900698,4.911146334052319e-008
196,-19,-9,-14,11,2,2,10,196.8764819245528,8.359447178918344e-008
196,-19,-9,-12,-17,-1,-16,-4,196.8764819074993,6.654099138359015e-008
196,-19,-9,-11,-9,-18,-2,9,196.8764817486292,9.23291167964635e-008
196,-19,-9,12,-3,-9,-4,9,196.8764819267051,8.574673415751022e-008
196,-19,-8,-19,-3,-11,16,-11,196.8764818571731,1.621475576030207e-008
196,-19,-8,-18,-5,-1,-13,7,196.8764817575576,8.340072099599638e-008
196,-19,-8,10,5,-4,-4,18,196.8764819276646,8.670630791129952e-008
196,-19,-7,-14,15,6,-4,16,196.8764817732948,6.766347837583453e-008
196,-19,-7,-4,-17,-16,-11,7,196.8764818107752,3.018317329406273e-008
196,-19,-7,12,6,14,4,-11,196.876481898168,5.720963258681877e-008
196,-19,-7,17,6,11,-18,14,196.8764818434762,2.517907660148921e-009
196,-19,-6,-18,-8,-17,1,6,196.8764818742115,3.325317265989725e-008
196,-19,-6,-13,15,-2,11,8,196.8764817502456,9.071271733773756e-008
196,-19,-4,-10,-15,-10,-8,0,196.8764818763384,3.53800828634121e-008
196,-19,-4,-1,12,5,12,-3,196.876481746828,9.413034263161535e-008
196,-19,-3,-15,-13,-12,7,-11,196.8764818048299,3.612839805100521e-008
196,-19,-3,2,5,1,-11,14,196.8764817840915,5.68668667710881e-008
196,-19,-3,15,15,18,0,-1,196.8764818491504,8.192074574253638e-009
196,-19,-2,-2,-7,-6,8,-12,196.8764818792502,3.829185857284756e-008
196,-19,-2,5,-4,13,2,-19,196.87648177378,6.71782913741481e-008
196,-19,-2,19,-1,14,-18,3,196.8764818172203,2.37380675116583e-008
196,-19,-1,-19,-16,0,-4,-16,196.8764818723029,3.134456960651733e-008
196,-19,-1,-19,-13,-5,-16,5,196.8764818556962,1.473790689487942e-008
196,-19,-1,-15,-19,-3,-12,-8,196.8764818817995,4.084114380020765e-008
196,-19,-1,-3,5,16,8,-18,196.876481860066,1.91077162980946e-008
196,-19,-1,1,-16,6,-15,-11,196.8764818103198,3.063854592255666e-008
196,-19,-1,13,-5,9,-16,-2,196.8764819252697,8.431140940956539e-008
196,-19,0,-15,-12,-6,-5,-4,196.8764818479438,6.985430900385836e-009
196,-19,0,1,-12,11,-8,-14,196.876481888367,4.740871872854768e-008
196,-19,0,12,15,14,12,-9,196.8764818263656,1.459275722481834e-008
