b0,A,B,C,D,E,F,G,Result,Delta
150,-19,-19,-19,-2,-14,-15,-9,150.0535204214902,7.053415629343363e-010
150,-19,-19,-16,1,-1,-7,18,150.0535204524159,3.163103201586637e-008
150,-19,-19,-15,-18,7,-11,6,150.0535204556609,3.487599542495445e-008
150,-19,-19,-14,2,11,10,17,150.0535204989662,7.818130143277813e-008
150,-19,-19,-12,2,7,19,12,150.0535205140997,9.331483852292877e-008
150,-19,-19,-10,-2,-10,-13,-15,150.0535204704802,4.969530209564255e-008
150,-19,-19,-2,-1,-3,-7,-10,150.0535205050507,8.426584940934845e-008
150,-19,-19,15,1,17,1,1,150.0535203530812,6.770366667296912e-008
150,-19,-19,16,1,10,19,-10,150.0535204983259,7.754104558443942e-008
150,-19,-19,17,-1,-16,-4,1,150.0535204036921,1.709281605144497e-008
150,-19,-18,-15,2,11,10,17,150.0535203354482,8.533663731213892e-008
150,-19,-18,-13,2,7,19,12,150.0535203231824,9.760250918589009e-008
150,-19,-18,-5,-1,6,-13,-14,150.0535203265205,9.42643509915797e-008
150,-19,-18,14,1,16,4,-1,150.0535204028668,1.791809722817561e-008
150,-19,-18,16,-1,-15,-7,3,150.0535204550205,3.423565431148745e-008
150,-19,-17,-16,2,10,13,15,150.0535204678105,4.70256509288447e-008
150,-19,-17,-15,-1,7,-19,-9,150.0535203514625,6.932242513357778e-008
150,-19,-17,-12,-2,-9,-16,-13,150.0535204388199,1.803496729735343e-008
150,-19,-17,-11,2,1,-6,16,150.053520464288,4.350312110545929e-008
150,-19,-17,-6,-1,11,-19,-13,150.0535204777116,5.692675131285796e-008
150,-19,-17,-5,-1,-6,2,-16,150.0535204581399,3.735502218660258e-008
150,-19,-17,13,1,15,7,-3,150.0535204541613,3.337640919198748e-008
150,-19,-17,15,-1,-14,-10,5,150.053520507936,8.71511645073042e-008
150,-19,-16,-12,1,-7,16,13,150.0535203552695,6.551536557708459e-008
150,-19,-16,12,1,14,10,-5,150.0535205070405,8.625565328657103e-008
150,-19,-16,14,-1,-14,-10,5,150.0535203307739,9.001098533190088e-008
150,-19,-15,-18,2,9,16,13,150.0535204360347,1.524978188172099e-008
150,-19,-15,-16,-2,-13,-7,-18,150.0535204571078,3.632288780863746e-008
150,-19,-15,-14,-2,-8,-19,-11,150.0535204065477,1.423717321813456e-008
150,-19,-15,11,1,14,10,-5,150.0535203298888,9.089609420698253e-008
150,-19,-15,13,-1,-13,-13,7,150.0535203828005,3.798442094193888e-008
150,-19,-14,-11,1,1,15,4,150.0535203322651,8.851975508150645e-008
150,-19,-14,8,1,-6,2,11,150.0535204731937,5.240880796009151e-008
150,-19,-14,10,1,13,13,-7,150.0535203818772,3.890767175107612e-008
150,-19,-14,12,-1,-12,-16,9,150.0535204365052,1.572033170305076e-008
150,-19,-13,-18,-2,-12,-10,-16,150.0535204022531,1.853180719990633e-008
150,-19,-13,-4,3,5,-9,-5,150.0535204302406,9.455760618948261e-009
150,-19,-13,9,1,12,16,-9,150.0535204355414,1.475652311455633e-008
150,-19,-13,11,-1,-11,-19,11,150.0535204919799,7.119498945939995e-008
150,-19,-12,-19,-2,-11,-13,-14,150.0535204961616,7.537670398960472e-008
150,-19,-12,-10,5,-4,16,-4,150.053520380033,4.075184278917732e-008
150,-19,-12,-8,1,-11,15,18,150.0535204382837,1.749884859236772e-008
150,-19,-12,8,1,11,19,-11,150.0535204909726,7.018775249889586e-008
150,-19,-12,9,-1,-19,2,-2,150.0535204136429,7.142006097637932e-009
150,-19,-11,-14,-8,2,-7,10,150.053520393888,2.68968562977534e-008
150,-19,-11,-2,8,-2,-2,0,150.0535205063914,8.560650144318061e-008
150,-19,-11,6,1,19,-2,2,150.0535204130704,7.714447747275699e-009
150,-19,-11,8,-1,-18,-1,0,150.053520432075,1.129009774558654e-008
150,-19,-10,-3,4,-6,8,-2,150.053520390936,2.984887714774231e-008
150,-19,-10,0,1,-3,12,11,150.0535205154568,9.467188988310227e-008
150,-19,-10,5,1,18,1,0,150.0535204314821,1.069722088686831e-008
150,-19,-10,5,8,1,3,-5,150.0535204917863,7.100140919646947e-008
150,-19,-10,7,-1,-17,-4,2,150.0535204510515,3.026659101124096e-008
150,-19,-9,4,1,17,4,-2,150.0535204504371,2.965219891848392e-008
150,-19,-9,6,-1,-16,-7,4,150.0535204705992,4.981430379302765e-008
150,-19,-8,-14,-1,4,-17,-7,150.0535204579708,3.718588459378225e-008
150,-19,-8,3,1,16,7,-4,150.053520469962,4.917714591101685e-008
150,-19,-8,5,-1,-15,-10,6,150.0535204907467,6.996179990892415e-008
150,-19,-7,-14,1,4,2,14,150.0535203252412,9.554369739817048e-008
150,-19,-7,2,1,15,10,-6,150.0535204900855,6.93005688390258e-008
150,-19,-7,4,-1,-15,-10,6,150.0535203307266,9.005827905639308e-008
150,-19,-7,4,-1,-14,-13,8,150.0535205115251,9.074022955246619e-008
150,-19,-7,17,-1,5,-4,-19,150.0535204510043,3.021943939529592e-008
150,-19,-6,1,1,14,13,-8,150.0535205108385,9.005364631775592e-008
150,-19,-6,1,1,15,10,-6,150.0535203300735,9.071140993910376e-008
150,-19,-6,3,-1,-14,-13,8,150.0535203493558,7.142912750168762e-008
150,-19,-6,7,-1,8,-9,-19,150.0535204385861,1.780117031557893e-008
150,-19,-6,11,-1,-15,15,-19,150.0535203417884,7.899649290266098e-008
150,-19,-6,12,-1,-12,9,-16,150.053520395688,2.509685259610706e-008
150,-19,-6,15,-1,-9,9,-19,150.0535204631028,4.231796424392087e-008
