b0,A,B,C,D,E,F,G,Result,Delta
111,-19,-19,-5,-9,9,-9,-17,111.8746591830897,6.097096161283844e-009
111,-19,-19,2,12,-14,13,13,111.8746592509422,7.394956469397584e-008
111,-19,-19,7,-5,-3,-16,12,111.8746592021338,2.514113361939963e-008
111,-19,-18,-13,10,7,-4,10,111.8746592187084,4.171577927536418e-008
111,-19,-18,-4,-19,8,-5,-11,111.8746591524962,2.449644398438977e-008
111,-19,-18,-3,-18,6,-10,-10,111.874659138091,3.890163213782216e-008
111,-19,-18,0,17,4,7,9,111.8746592381093,6.111665129537869e-008
111,-19,-17,-18,-11,5,-1,-3,111.8746590877154,8.9277278902955e-008
111,-19,-17,2,-8,2,-12,0,111.8746592161961,3.920348490282777e-008
111,-19,-16,16,-4,2,-5,-4,111.8746592289964,5.200374175728939e-008
111,-19,-15,-18,1,0,-7,4,111.874659188539,1.154634787781106e-008
111,-19,-15,-14,8,12,3,-5,111.8746591414268,3.556587557795865e-008
111,-19,-15,14,-17,-17,4,-7,111.8746591238292,5.316347539974231e-008
111,-19,-14,0,-10,-9,9,-13,111.8746591263199,5.067272468295414e-008
111,-19,-14,2,12,17,4,-7,111.8746592161248,3.91321890447216e-008
111,-19,-14,8,3,-9,6,5,111.874659152448,2.454468983614788e-008
111,-19,-14,13,12,-5,2,17,111.8746591160322,6.096044558034919e-008
111,-19,-13,-16,17,9,10,1,111.8746592732809,9.628827513097349e-008
111,-19,-13,-14,10,16,5,-9,111.8746592115116,3.451897612194443e-008
111,-19,-13,5,-13,7,-3,-11,111.874659199055,2.206235194535111e-008
111,-19,-12,-18,6,16,-16,8,111.8746591170059,5.998677465868241e-008
111,-19,-12,-11,-17,-1,-18,-2,111.8746590806817,9.631094144424424e-008
111,-19,-12,7,-17,-16,-6,2,111.8746592335257,5.653301116126386e-008
111,-19,-12,11,-15,2,-6,-11,111.8746591495144,2.74782081532976e-008
111,-19,-10,9,-19,-3,-3,-17,111.8746591892316,1.223892809321114e-008
111,-19,-10,14,9,3,-4,12,111.8746591622815,1.471114785545069e-008
111,-19,-9,-12,19,12,19,-9,111.8746591093286,6.766400417745899e-008
111,-19,-9,-11,18,7,10,4,111.8746591703986,6.594063961529173e-009
111,-19,-9,-3,12,13,16,-15,111.8746591785088,1.516141878710187e-009
111,-19,-8,-19,9,9,16,-14,111.8746592010974,2.41047928284388e-008
111,-19,-8,-18,-12,2,-10,-8,111.8746591938544,1.68617617646305e-008
111,-19,-8,2,12,12,-2,4,111.8746590868786,9.011408508285967e-008
111,-19,-8,7,-17,-12,-11,3,111.8746590984951,7.84975213719008e-008
111,-19,-7,-9,10,11,1,0,111.8746592640961,8.710347287887998e-008
111,-19,-7,2,-19,9,-18,-13,111.8746591776409,6.482991921075154e-010
111,-19,-7,18,15,16,-17,18,111.8746591530359,2.395672993316111e-008
