b0,A,B,C,D,E,F,G,Result,Delta
72,-19,-19,-19,17,-1,-4,-11,72.06715760239788,7.208402053038299e-008
72,-19,-19,-17,-1,-9,-10,3,72.06715761158411,6.289779719281796e-008
72,-19,-19,-3,-2,3,-16,-18,72.06715762826428,4.621762172973831e-008
72,-19,-19,11,-1,2,-16,-2,72.06715764162883,3.285308025624545e-008
72,-19,-17,0,-1,0,-7,-11,72.06715766112595,1.335595811724488e-008
72,-19,-17,2,2,-6,19,18,72.06715773177452,5.729260976750084e-008
72,-19,-17,6,1,1,3,15,72.0671576135781,6.090380111345439e-008
72,-19,-17,7,1,-13,17,7,72.06715772982179,5.533988201023021e-008
72,-19,-16,13,1,-12,17,14,72.06715776934912,9.486721808116272e-008
72,-19,-15,19,1,-5,7,15,72.06715760458329,6.989861844886036e-008
72,-19,-14,-9,-1,-4,-14,2,72.06715768957483,1.509292246737459e-008
72,-19,-14,-7,1,-6,7,14,72.06715760788015,6.660175699835236e-008
72,-19,-14,1,-1,16,-15,-14,72.06715765578953,1.869237564733339e-008
72,-19,-14,18,2,5,16,9,72.06715770501513,3.05332292782623e-008
72,-19,-13,-18,1,1,-1,19,72.06715763518787,3.929403646907304e-008
72,-19,-13,-16,-3,-1,14,-12,72.06715773647778,6.199587687660824e-008
72,-19,-13,-13,-1,-3,8,-13,72.06715768329057,8.808669349491538e-009
72,-19,-13,2,-1,15,-13,-15,72.06715761536842,5.911348921472381e-008
72,-19,-13,13,-1,7,-16,-9,72.06715763455864,3.992326469415275e-008
72,-19,-12,-18,1,-2,17,1,72.06715757932209,9.515981957974873e-008
72,-19,-12,-16,6,4,-19,17,72.06715766490792,9.573980719324027e-009
72,-19,-12,16,2,4,19,7,72.06715767299346,1.488444922870258e-009
72,-19,-9,-5,-1,12,-9,-15,72.06715767901628,4.534371100817225e-009
72,-19,-9,7,2,-6,16,18,72.06715770868266,3.420075245230692e-008
72,-19,-9,10,-1,9,-7,-13,72.06715773058802,5.610611708561919e-008
72,-19,-8,-17,-2,2,-18,-15,72.06715775164068,7.715877359260048e-008
72,-19,-8,-11,-1,1,-14,-3,72.06715758482324,8.96586698218016e-008
72,-19,-8,4,1,0,9,7,72.06715760423552,7.024638648545079e-008
72,-19,-8,13,1,-8,7,18,72.0671576558231,1.865880960849609e-008
72,-19,-7,-5,-1,10,-14,-3,72.06715768836247,1.388056602991128e-008
72,-19,-7,0,-1,2,-10,-8,72.06715758608564,8.839626275403134e-008
72,-19,-7,3,-1,-1,-9,-6,72.06715765476308,1.971882568341243e-008
72,-19,-7,10,-2,-19,4,-15,72.06715771066558,3.618367827584734e-008
72,-19,-7,19,1,8,17,-10,72.0671575860256,8.845630361520307e-008
72,-19,-6,9,-2,-19,4,-15,72.06715763999743,3.448447216669592e-008
72,-19,-6,9,-2,-18,1,-13,72.06715770704928,3.256737102219631e-008
72,-19,-6,11,-2,-16,4,-18,72.06715768497993,1.049802733632532e-008
72,-19,-5,-11,-1,-3,-11,-2,72.0671576128842,6.159770293834299e-008
72,-19,-5,4,2,19,-4,15,72.06715771022155,3.573964590941614e-008
72,-19,-5,7,-1,17,-15,-16,72.06715773171294,5.723103413401987e-008
72,-19,-5,8,-2,-16,-5,-9,72.06715777295349,9.847158821685298e-008
72,-19,-5,8,-2,-17,-2,-11,72.06715770337107,2.888916128540586e-008
72,-19,-5,8,-2,-18,1,-13,72.06715763553127,3.895063116488018e-008
72,-19,-5,10,-2,-16,4,-18,72.06715759216313,8.231877757225448e-008
72,-19,-5,10,-2,-15,1,-16,72.06715769140962,1.692771434136375e-008
72,-19,-5,18,1,10,2,3,72.06715765659352,1.788838233096612e-008
72,-19,-4,-12,-1,7,-10,-13,72.06715764446774,3.001416359893483e-008
72,-19,-4,-3,-1,1,-17,0,72.06715775466401,8.018210451155028e-008
72,-19,-4,3,2,18,-1,13,72.06715770659083,3.21089288490839e-008
72,-19,-4,3,2,19,-4,15,72.06715763955923,3.492267808269389e-008
72,-19,-4,4,1,-17,15,16,72.0671577740868,9.960488966953562e-008
72,-19,-4,5,2,16,-4,18,72.06715768420845,9.726548455546435e-009
72,-19,-4,7,-2,-17,-2,-11,72.067157630982,4.349990945229365e-008
72,-19,-4,7,-2,-15,-8,-7,72.06715777006734,9.558543467846903e-008
72,-19,-4,7,-2,-16,-5,-9,72.0671576996303,2.514839536615909e-008
72,-19,-4,9,-2,-15,1,-16,72.06715759727109,7.721081374256755e-008
72,-19,-4,9,-2,-14,-2,-14,72.0671576980907,2.360879136631411e-008
72,-19,-4,17,1,9,5,1,72.06715776351057,8.902865999971255e-008
72,-19,-4,19,1,5,0,10,72.06715758028415,9.419775892638427e-008
72,-19,-3,-11,-1,-5,-3,-8,72.06715775827355,8.379164739835687e-008
72,-19,-3,-11,1,8,-8,16,72.06715758748753,8.699437614723138e-008
72,-19,-3,2,2,16,5,9,72.06715777245736,9.797545885703585e-008
72,-19,-3,2,2,17,2,11,72.06715770289753,2.84156271845859e-008
72,-19,-3,2,2,18,-1,13,72.06715763507899,3.940292003790091e-008
72,-19,-3,4,-2,-19,-5,-6,72.06715774693247,7.245056110605219e-008
72,-19,-3,4,2,15,-1,16,72.06715769060706,1.612515632132272e-008
72,-19,-3,4,2,16,-4,18,72.06715759140234,8.307956989028753e-008
72,-19,-3,6,-2,-16,-5,-9,72.06715762634808,4.813382759039087e-008
72,-19,-3,6,-2,-14,-11,-5,72.06715776714182,9.265991707252397e-008
72,-19,-3,6,-2,-15,-8,-7,72.06715769582647,2.134456167368626e-008
72,-19,-3,8,-2,-13,-5,-12,72.06715770504006,3.055815511743276e-008
72,-19,-3,8,-2,-14,-2,-14,72.06715760259063,7.18912787078807e-008
72,-19,-3,18,-1,-8,-8,1,72.06715763564894,3.883296528783831e-008
72,-19,-2,-9,-7,-3,3,-18,72.06715757709118,9.739072481806943e-008
72,-19,-2,-2,1,4,-3,15,72.06715760915429,6.532761176458735e-008
72,-19,-2,1,2,15,8,7,72.06715776955406,9.507215281701065e-008
72,-19,-2,1,2,16,5,9,72.06715769914082,2.465891668634868e-008
72,-19,-2,1,2,17,2,11,72.06715763051481,4.396709130105592e-008
72,-19,-2,3,-2,-19,-5,-6,72.06715768950639,1.502448299106618e-008
72,-19,-2,3,-2,-18,-8,-4,72.06715773741394,6.293203114182688e-008
72,-19,-2,3,-1,18,-17,-15,72.06715770329943,2.881752436678653e-008
72,-19,-2,3,2,14,2,14,72.06715769725501,2.277310784393194e-008
72,-19,-2,3,2,15,-1,16,72.0671575964798,7.800210255481943e-008
