b0,A,B,C,D,E,F,G,Result,Delta
201,-19,-19,-19,8,6,16,9,201.264751944214,5.102265276946127e-010
201,-19,-19,2,-7,4,-14,-18,201.2647518528221,9.088174124372017e-008
201,-19,-19,4,-4,1,-12,-6,201.264751989951,4.624718030754593e-008
201,-19,-19,9,2,16,6,-14,201.2647520388534,9.514963039691793e-008
201,-19,-19,13,-7,-12,4,-19,201.2647519645417,2.083794470308931e-008
201,-19,-19,16,-3,6,-16,-3,201.2647519936168,4.991301238987944e-008
201,-19,-18,-18,-5,-17,15,-18,201.2647518479442,9.57595602812944e-008
201,-19,-18,-16,2,2,0,7,201.2647519453443,1.64052949003235e-009
201,-19,-18,-8,-1,11,-2,-11,201.2647519074407,3.626314537541475e-008
201,-19,-18,-3,-11,-19,-15,-8,201.2647518989279,4.477587367546221e-008
201,-19,-18,2,-11,-19,-4,-19,201.2647518997455,4.395826636027778e-008
201,-19,-18,2,-4,7,-18,-7,201.2647519025627,4.11410780998267e-008
201,-19,-18,4,-7,-12,-10,-5,201.264751952913,9.209173867930076e-009
201,-19,-18,4,-4,10,-10,-9,201.2647519809466,3.724284169948078e-008
201,-19,-18,13,2,14,1,-7,201.2647519586005,1.489667056375765e-008
201,-19,-18,16,-11,3,-9,4,201.2647518602479,8.345591595571023e-008
201,-19,-18,17,6,7,0,16,201.2647519783643,3.466053044576256e-008
201,-19,-17,-15,-12,-11,-16,-19,201.264751979408,3.570423245946586e-008
201,-19,-17,-5,-7,-18,-6,-3,201.2647520254593,8.175544508048915e-008
201,-19,-17,-4,-11,-18,-18,-6,201.264751920474,2.322983050362382e-008
201,-19,-17,1,-11,-18,-7,-17,201.2647519471563,3.452498731348896e-009
201,-19,-17,9,-3,-9,-8,5,201.2647520027542,5.905039301978832e-008
201,-19,-17,17,2,15,-13,6,201.2647520386869,9.498313602307462e-008
201,-19,-16,-7,-5,-9,2,-13,201.2647519312259,1.247786940439255e-008
201,-19,-16,-2,-7,-13,-14,0,201.2647519918727,4.81689141906827e-008
201,-19,-16,-2,6,18,16,-11,201.2647518836701,6.0033698900952e-008
201,-19,-16,0,-11,-17,-10,-15,201.2647519956662,5.196238817006815e-008
201,-19,-16,6,-7,-10,-9,-8,201.264752009771,6.606720148738532e-008
201,-19,-16,7,-5,7,-13,-11,201.2647519152368,2.846698521352664e-008
201,-19,-16,7,-4,14,-11,-16,201.2647519540304,1.032657337418641e-008
201,-19,-16,17,-4,-3,5,-19,201.2647520212298,7.752603892186016e-008
201,-19,-15,-13,8,2,16,13,201.2647520238654,8.01615556156321e-008
201,-19,-15,-10,11,5,18,19,201.2647519862139,4.251006657796097e-008
201,-19,-15,-3,6,17,19,-13,201.2647519255943,1.810948901947995e-008
201,-19,-15,0,-3,-15,0,3,201.2647520398193,9.611548534849135e-008
201,-19,-15,2,-7,0,-4,-1,201.2647519048779,3.882587407133542e-008
201,-19,-14,-3,-5,-7,1,-14,201.2647519280589,1.564490048622247e-008
201,-19,-14,0,7,6,4,17,201.2647519614217,1.771786628523842e-008
201,-19,-14,5,10,11,9,18,201.2647520214683,7.776449706398125e-008
201,-19,-14,10,-3,-12,7,-7,201.2647519458736,2.169798563045333e-009
201,-19,-13,-14,1,-16,18,0,201.2647519850171,4.131331365897495e-008
201,-19,-13,-10,-5,17,-16,-17,201.2647520404165,9.6712682307043e-008
201,-19,-13,-9,-7,-15,-15,3,201.2647520018365,5.813268444399e-008
201,-19,-13,2,-3,-18,15,-9,201.2647520256967,8.199290846278018e-008
201,-19,-13,10,-7,8,-19,-17,201.2647519706357,2.693187184377166e-008
201,-19,-13,16,-5,8,-15,-12,201.2647520435689,9.986504778680683e-008
201,-19,-13,17,6,0,8,15,201.2647518905706,5.313324891176308e-008
201,-19,-13,19,5,15,7,-3,201.2647519230591,2.064470550067199e-008
201,-19,-12,-9,3,15,0,-3,201.2647519440689,3.650484359241091e-010
201,-19,-12,-4,-11,-14,-19,-9,201.2647518471385,9.656531574364635e-008
201,-19,-12,-3,-4,1,3,-18,201.2647519753459,3.164214490425366e-008
201,-19,-12,1,5,-12,11,16,201.2647519077265,3.597733666538261e-008
201,-19,-12,8,-6,-19,-7,3,201.2647518516875,9.20163358841819e-008
201,-19,-12,9,-2,4,4,-19,201.2647518611818,8.252197858382715e-008
201,-19,-12,18,5,14,10,-5,201.2647519484664,4.762597427543369e-009
201,-19,-11,-17,7,12,10,5,201.2647518979462,4.575755951918836e-008
201,-19,-11,-2,8,-4,18,17,201.2647519590799,1.537605953672028e-008
201,-19,-11,2,10,9,15,14,201.2647519349548,8.749054813961266e-009
201,-19,-11,4,7,-2,14,15,201.2647519514931,7.789253686496522e-009
201,-19,-11,5,-5,3,-6,-18,201.2647519085699,3.513392243803537e-008
201,-19,-11,7,-6,-18,-10,5,201.2647518632775,8.042627541726688e-008
201,-19,-11,12,3,1,6,-3,201.2647520207199,7.701612503296929e-008
201,-19,-11,13,2,4,-8,4,201.2647519214526,2.225118578280672e-008
201,-19,-11,17,5,13,13,-7,201.2647519748126,3.110878310508269e-008
201,-19,-10,-18,-8,-12,-5,-14,201.2647520065983,6.289451448537875e-008
201,-19,-10,-7,3,18,-15,9,201.2647519147014,2.900239337577659e-008
201,-19,-10,2,7,-2,19,10,201.2647518915046,5.219919785304228e-008
201,-19,-10,4,-3,-8,-8,4,201.2647520061798,6.247597639230662e-008
201,-19,-10,5,6,12,-4,15,201.2647519521356,8.431783271589666e-009
201,-19,-10,6,-6,-17,-13,7,201.264751875284,6.841983690719644e-008
201,-19,-10,10,-4,2,-16,-2,201.2647519736285,2.99246778467932e-008
201,-19,-10,11,-5,-1,0,-19,201.2647520186021,7.489833819818159e-008
