b0,A,B,C,D,E,F,G,Result,Delta
220,-19,-19,-12,19,-3,18,12,220.714918804504,3.481005705907592e-008
220,-19,-19,-11,-15,2,-15,-10,220.7149187869374,5.237660616330686e-008
220,-19,-19,-8,-15,-12,-4,-6,220.7149187395587,9.975533998840547e-008
220,-19,-19,-7,-4,-9,10,-9,220.7149188642266,2.491262307557918e-008
220,-19,-19,-1,-18,-17,6,-15,220.7149189108536,7.153954584282474e-008
220,-19,-19,5,-11,8,-12,-13,220.7149188753986,3.608460019677295e-008
220,-19,-19,10,17,5,13,6,220.7149189386414,9.932736588780244e-008
220,-19,-19,16,-11,-1,-9,-7,220.7149188732984,3.398443482183211e-008
220,-19,-19,16,-8,-5,5,-13,220.714918887833,4.851898438573699e-008
220,-19,-18,-16,11,18,0,-2,220.7149188433846,4.070557224622462e-009
220,-19,-18,-9,14,19,1,0,220.7149189250553,8.574130561100901e-008
220,-19,-18,4,-1,-19,1,16,220.7149189197192,8.040518650886952e-008
220,-19,-18,10,-6,7,-7,-2,220.714918844693,5.379007461669971e-009
220,-19,-18,18,-10,-8,7,-14,220.7149188397547,4.406501830089837e-010
220,-19,-17,-16,-15,0,-17,-6,220.7149188561821,1.68681140166882e-008
220,-19,-17,-11,-6,5,-11,6,220.714918750074,8.924004646360118e-008
220,-19,-17,-9,-8,-19,2,5,220.7149188040331,3.528094794091885e-008
220,-19,-17,10,10,-9,3,18,220.7149187816595,5.765451760453288e-008
220,-19,-17,11,8,-6,-1,15,220.7149187626974,7.661662948521553e-008
220,-19,-17,11,12,10,15,-8,220.7149187488801,9.043395721164416e-008
220,-19,-17,12,-16,-19,14,-18,220.7149187785687,6.074535008337989e-008
220,-19,-17,12,4,13,6,-13,220.7149188143894,2.492464545866824e-008
220,-19,-17,15,12,-15,15,16,220.714918909139,6.982494937801675e-008
220,-19,-16,5,-8,0,-15,2,220.7149187448472,9.44668272495619e-008
220,-19,-16,6,17,12,-4,16,220.7149188944279,5.511387257683964e-008
220,-19,-15,3,-13,-1,2,-16,220.7149188440769,4.762910066347104e-009
220,-19,-14,-17,18,2,11,13,220.7149189363103,9.6996302545449e-008
220,-19,-14,-11,-17,-3,-19,-3,220.7149188372395,2.074557414744049e-009
220,-19,-14,-10,14,11,18,-9,220.7149188942534,5.493939170264639e-008
220,-19,-14,-3,18,-3,10,19,220.7149187410897,9.822429092309903e-008
220,-19,-14,9,11,-2,15,3,220.7149189360635,9.674945999904594e-008
220,-19,-13,10,9,-9,11,13,220.7149189268647,8.755071689847682e-008
220,-19,-13,16,8,5,-9,16,220.7149188411498,1.835815055528656e-009
220,-19,-12,-17,19,15,-2,14,220.7149188744869,3.517288860166445e-008
220,-19,-12,-15,17,-6,-1,17,220.7149187778022,6.151176989988016e-008
220,-19,-12,-7,15,-2,8,16,220.7149188516001,1.228607970915618e-008
220,-19,-12,-3,11,9,-3,10,220.7149187716413,6.767271543139941e-008
220,-19,-12,-2,-11,-19,0,3,220.7149187543683,8.494572512063314e-008
220,-19,-12,13,-11,16,-11,-19,220.714918743146,9.61679802458093e-008
220,-19,-11,-16,15,-1,17,6,220.7149188118116,2.750240923887759e-008
220,-19,-11,-3,-12,9,-14,-14,220.7149189133876,7.407362545563956e-008
220,-19,-11,7,-11,-13,-2,-1,220.7149188571239,1.780986735866463e-008
220,-19,-11,8,-16,-8,-16,1,220.7149187421193,9.719468607727322e-008
220,-19,-10,-6,-6,11,-12,-4,220.7149188420887,2.774640961433761e-009
220,-19,-10,0,-16,-13,-12,2,220.7149188730776,3.37636265612673e-008
220,-19,-10,0,8,-1,6,8,220.7149189058656,6.655162110291713e-008
220,-19,-10,1,-6,7,-19,-1,220.7149188135846,2.572943458289956e-008
220,-19,-9,-6,17,18,0,6,220.714918750917,8.83969732967671e-008
220,-19,-9,6,-11,12,-11,-13,220.7149188730766,3.376257495801838e-008
220,-19,-8,-18,14,-13,11,18,220.7149188017103,3.760368372240919e-008
220,-19,-8,-7,17,17,3,4,220.7149188722528,3.293874328846869e-008
220,-19,-8,-3,-14,-5,1,-17,220.714918811419,2.789496988953033e-008
220,-19,-8,9,7,14,2,-6,220.7149187884867,5.082728193883668e-008
220,-19,-7,-16,16,2,16,5,220.7149188025523,3.676169058053347e-008
220,-19,-7,-13,-12,-3,-18,3,220.7149188258723,1.344167799288698e-008
220,-19,-7,0,17,7,-2,19,220.7149189145938,7.527981438215647e-008
220,-19,-7,10,15,16,-14,19,220.714918771707,6.760703286090575e-008
220,-19,-6,5,-11,-17,15,-14,220.7149188066884,3.262556447225506e-008
220,-19,-6,9,15,15,-11,17,220.7149188222271,1.708696117930231e-008
220,-19,-6,11,-19,-15,-7,-5,220.7149188443372,5.023167659601313e-009
220,-19,-5,-4,7,-3,19,-5,220.7149187471425,9.217148999596247e-008
220,-19,-5,8,-14,-14,-11,5,220.7149188473976,8.083617331067217e-009
220,-19,-5,8,15,14,-8,15,220.714918874901,3.558699290806544e-008
220,-19,-4,-9,10,6,-7,16,220.7149188581874,1.887340772555035e-008
