b0,A,B,C,D,E,F,G,Result,Delta
14,-19,-19,-12,3,15,-2,10,14.13472514558251,3.847814511459546e-009
14,-19,-19,-11,6,11,16,18,14.13472515387665,1.214195144427777e-008
14,-19,-19,1,-3,5,-18,-10,14.1347252177151,7.598040596690225e-008
14,-19,-19,7,-3,-7,-5,-11,14.13472521430373,7.256902989638547e-008
14,-19,-19,15,4,11,0,19,14.13472509138179,5.035290051580432e-008
14,-19,-19,16,-4,2,11,-16,14.13472511240343,2.933126452830948e-008
14,-19,-19,16,4,7,9,14,14.13472515111938,9.384683252733339e-009
14,-19,-18,-13,-3,-16,-3,-4,14.13472514923832,7.503629717575677e-009
14,-19,-18,-13,-2,-5,-17,6,14.13472514228605,5.513545175972467e-010
14,-19,-18,-11,-2,-10,0,-6,14.13472520215466,6.041996769567959e-008
14,-19,-18,-11,1,-2,-1,14,14.13472515735316,1.561846829645219e-008
14,-19,-18,-9,-6,-19,-11,-15,14.13472512750531,1.422938389339379e-008
14,-19,-18,0,-9,-5,-2,15,14.13472521537045,7.363575882379791e-008
14,-19,-18,8,4,11,19,0,14.13472506255644,7.917825506353893e-008
14,-19,-18,12,2,-3,10,-9,14.13472505899576,8.273893570276414e-008
14,-19,-18,17,4,3,15,12,14.13472511499336,2.674133803282075e-008
14,-19,-17,-17,-3,-18,-1,-4,14.13472513124301,1.04916875187655e-008
14,-19,-17,-13,6,10,19,16,14.13472506268207,7.905262400242918e-008
14,-19,-17,-10,-6,-18,-14,-13,14.13472514530004,3.565341799571797e-009
14,-19,-17,2,-3,3,-15,-12,14.13472522083963,7.910493060592216e-008
14,-19,-17,14,-2,0,-13,-3,14.13472505446353,8.727116451723305e-008
14,-19,-17,14,4,6,12,12,14.13472515500106,1.326636578369289e-008
14,-19,-17,15,-7,5,-9,13,14.13472517191719,3.018249472575008e-008
14,-19,-17,18,2,3,-9,3,14.13472506708134,7.465335194467571e-008
14,-19,-16,-19,-5,-4,-19,-15,14.13472504264185,9.909284237608063e-008
14,-19,-16,-14,-2,-3,3,-7,14.13472506708397,7.465072826562391e-008
14,-19,-16,-12,-3,-13,-8,-2,14.13472511995531,2.177938895897569e-008
14,-19,-16,-11,-6,-17,-17,-11,14.13472516347193,2.173723778753356e-008
14,-19,-16,-3,-6,-12,-15,-18,14.13472515452945,1.279475014825948e-008
