b0,A,B,C,D,E,F,G,Result,Delta
143,-19,-19,-19,9,4,-9,12,143.1118459056109,9.799023814593966e-008
143,-19,-19,-13,3,3,8,17,143.1118458094104,1.789743464541971e-009
143,-19,-19,-8,-3,7,-19,-16,143.1118457770585,3.056217678931716e-008
143,-19,-19,2,5,14,19,12,143.1118458647834,5.716276518796803e-008
143,-19,-19,2,5,15,16,14,143.1118457808406,2.678004307199444e-008
143,-19,-19,5,5,12,15,18,143.1118457096544,9.796627864488983e-008
143,-19,-19,5,5,11,18,16,143.1118458317135,2.409285571047803e-008
143,-19,-19,9,-5,-19,-14,-12,143.1118457079325,9.968815106731199e-008
143,-19,-19,9,-5,-18,-17,-10,143.1118457647618,4.285882937438146e-008
143,-19,-19,13,4,12,18,6,143.1118457983603,9.260304523195373e-009
143,-19,-18,-15,1,-8,1,12,143.111845750414,5.720659146390972e-008
143,-19,-18,1,5,14,19,12,143.1118457908262,1.679444494584459e-008
143,-19,-18,1,5,15,16,14,143.1118457076989,9.992172067541105e-008
143,-19,-18,4,5,11,18,16,143.1118457365148,7.11058589786262e-008
143,-19,-17,-3,5,19,14,12,143.1118458813818,7.376121402558056e-008
143,-19,-17,0,5,14,19,12,143.1118457168989,9.072169859791757e-008
143,-19,-17,3,-2,-7,5,-17,143.111845712977,9.464361028221902e-008
143,-19,-17,19,3,18,-1,10,143.1118458877658,8.014521313270961e-008
143,-19,-17,19,3,19,-4,12,143.1118457662911,4.132957087676914e-008
143,-19,-16,-15,2,6,-2,-12,143.111845872586,6.496534865618742e-008
143,-19,-16,-10,2,6,-17,8,143.1118457527435,5.487717658070324e-008
143,-19,-16,-4,5,18,17,10,143.1118458812051,7.358445941463288e-008
143,-19,-16,-4,5,19,14,12,143.1118458232949,1.567431695548294e-008
143,-19,-16,11,2,-6,6,18,143.1118458156646,8.043940624702373e-009
143,-19,-16,18,-2,1,-5,-15,143.1118457878653,1.975530494746636e-008
143,-19,-16,18,3,17,2,8,143.1118458974113,8.979068866210582e-008
143,-19,-16,18,3,18,-1,10,143.1118457742599,3.336077725180076e-008
143,-19,-15,-18,-13,-3,12,-18,143.1118457445147,6.31059151601221e-008
143,-19,-15,-5,5,18,17,10,143.1118458225815,1.496084678365151e-008
143,-19,-15,-5,5,19,14,12,143.1118457652257,4.23949302330584e-008
143,-19,-15,-3,1,-4,-5,12,143.1118458481744,4.055380031786626e-008
143,-19,-15,16,-4,-19,-1,-16,143.1118458871826,7.956194281177886e-008
143,-19,-15,17,3,16,5,6,143.1118459073608,9.974021963898849e-008
143,-19,-15,17,3,17,2,8,143.1118457824816,2.513905883461121e-008
143,-19,-15,19,3,10,12,5,143.1118457379382,6.968247134864214e-008
143,-19,-14,-6,5,18,17,10,143.1118457639762,4.364443384474726e-008
143,-19,-14,-5,-6,-18,-17,-19,143.1118458999904,9.236973141923954e-008
143,-19,-14,-2,1,-4,19,-5,143.1118457486607,5.895995514038077e-008
143,-19,-14,15,-4,-18,-4,-14,143.1118458860236,7.840301918804471e-008
143,-19,-14,15,-4,-19,-1,-16,143.1118458018894,5.731266128350399e-009
143,-19,-14,15,5,-10,11,13,143.1118458038441,3.776534640564933e-009
143,-19,-14,16,3,16,5,6,143.1118457909698,1.665080162638333e-008
143,-19,-14,18,3,9,15,3,143.1118458023016,5.319009233062388e-009
143,-19,-14,18,4,-2,19,19,143.1118457371373,7.048333827697206e-008
143,-19,-13,-18,2,5,12,2,143.1118458289182,2.129755216628837e-008
143,-19,-13,-6,-6,-18,-17,-19,143.1118458477827,4.016209231849643e-008
143,-19,-13,7,2,-12,17,16,143.1118458135329,5.912312417422072e-009
143,-19,-13,8,-1,0,-17,7,143.1118458039626,3.658016112240148e-009
143,-19,-13,14,-4,-19,-1,-16,143.111845716633,9.0987583689639e-008
143,-19,-13,14,-4,-17,-7,-12,143.1118458848684,7.724779038653651e-008
143,-19,-13,14,-4,-18,-4,-14,143.1118457997915,7.829100923117949e-009
143,-19,-13,15,3,15,8,4,143.1118457997391,7.881482133598183e-009
143,-19,-13,17,3,8,18,1,143.1118458692482,6.162761678751849e-008
143,-19,-12,-19,3,3,7,18,143.1118457715039,3.611677357184817e-008
143,-19,-12,-7,-6,-18,-17,-19,143.1118457955901,1.203054011966742e-008
143,-19,-12,-1,1,12,-14,12,143.1118458653883,5.776763600806589e-008
143,-19,-12,13,-4,-18,-4,-14,143.1118457135973,9.402333489560988e-008
143,-19,-12,13,-4,-17,-7,-12,143.1118457976756,9.945040346792666e-009
