b0,A,B,C,D,E,F,G,Result,Delta
173,-19,-19,-15,-1,19,-16,-4,173.4115364469208,7.267075829986425e-008
173,-19,-19,-11,-17,-12,-19,-11,173.4115365007743,1.88172748494253e-008
173,-19,-19,-6,13,12,9,11,173.4115365486306,2.903908580265124e-008
173,-19,-19,-2,-10,-14,-6,-5,173.4115365869414,6.734981639056059e-008
173,-19,-19,-2,-7,-1,-4,-15,173.4115365657135,4.612195425579557e-008
173,-19,-19,6,-3,-18,11,-1,173.4115365592216,3.963003791795927e-008
173,-19,-19,8,-12,-2,-17,-11,173.4115365634198,4.382829388305254e-008
173,-19,-19,9,11,11,8,8,173.4115365251852,5.593648211288382e-009
173,-19,-19,11,-9,10,-18,-15,173.4115364572258,6.236578542484494e-008
173,-19,-18,-15,11,-7,18,17,173.4115365616102,4.201868364361872e-008
173,-19,-18,-13,7,12,-8,14,173.4115364615733,5.80182586418232e-008
173,-19,-18,-8,-11,-2,-14,-12,173.4115365614931,4.190158620076545e-008
173,-19,-18,-8,-10,-16,-7,-2,173.4115364224491,9.714247539704957e-008
173,-19,-18,-4,8,0,5,19,173.4115364690157,5.057583507550589e-008
173,-19,-18,0,6,19,3,-7,173.4115364265237,9.306788228968799e-008
173,-19,-18,12,-8,2,-8,-15,173.4115365885106,6.891903581163206e-008
173,-19,-17,-15,7,-10,10,9,173.411536545051,2.545942834331072e-008
173,-19,-17,-4,-15,-18,-10,-9,173.4115364229262,9.666533173913194e-008
173,-19,-17,4,-17,-4,-19,-19,173.4115365245638,4.972235956302029e-009
173,-19,-17,5,-8,-16,-3,-1,173.4115365470649,2.747339067354915e-008
173,-19,-17,11,6,15,-13,13,173.4115364582743,6.131728014224791e-008
173,-19,-17,14,4,1,6,-2,173.4115364669904,5.260119451122591e-008
173,-19,-17,15,-13,-12,-16,-4,173.4115365507873,3.119575353593973e-008
173,-19,-17,15,3,3,1,-10,173.4115365180418,1.549750550111639e-009
173,-19,-17,16,3,3,11,-6,173.4115365929403,7.33487297566171e-008
173,-19,-16,-15,-10,-19,-5,-1,173.4115364330247,8.65668141614151e-008
173,-19,-16,-14,13,5,-16,19,173.4115364829063,3.668520776045625e-008
173,-19,-16,-5,-15,-17,-13,-7,173.4115365710359,5.144431725057075e-008
173,-19,-16,-1,3,-12,13,4,173.4115364582085,6.13830763995793e-008
173,-19,-16,0,-8,-19,-1,0,173.4115364542695,6.532204110953899e-008
173,-19,-15,-19,-12,-14,-7,-9,173.4115365944748,7.488321784876462e-008
173,-19,-15,-18,7,10,0,8,173.4115365384307,1.883918798739614e-008
173,-19,-15,-11,-10,-14,-13,2,173.4115365632217,4.363019456832262e-008
173,-19,-15,-8,-11,6,-16,7,173.4115365745856,5.499407507159049e-008
173,-19,-15,-1,5,-6,18,11,173.4115364907668,2.8824786113546e-008
173,-19,-15,6,-5,-14,14,-13,173.4115364217774,9.78141656560183e-008
173,-19,-15,16,9,16,0,6,173.4115364356025,8.398907880291517e-008
173,-19,-14,-16,-9,9,-15,-17,173.4115365400971,2.05055243895913e-008
173,-19,-14,-12,-3,-19,-4,15,173.4115365102094,9.382119969814085e-009
173,-19,-14,-1,11,19,2,6,173.4115365708829,5.129132318870688e-008
