b0,A,B,C,D,E,F,G,Result,Delta
32,-19,-19,-18,19,1,8,13,32.93506166587672,7.813752489482795e-008
32,-19,-19,9,9,12,9,-11,32.93506163494632,4.720713064898519e-008
32,-19,-18,-14,-16,-16,-11,9,32.93506160135757,1.36183757604158e-008
32,-19,-18,10,11,17,6,-11,32.93506165816311,7.04239226934078e-008
32,-19,-18,18,13,15,4,-5,32.93506158778137,4.217781679471955e-011
32,-19,-16,-12,9,-16,14,10,32.93506152391701,6.382218487033242e-008
32,-19,-16,-5,-19,-18,-13,10,32.93506166651358,7.877438434888973e-008
32,-19,-16,-3,18,3,3,14,32.9350615587585,2.898069340062648e-008
32,-19,-16,2,-13,9,-4,-14,32.93506155514863,3.259056313709152e-008
32,-19,-16,6,-19,-16,-3,-2,32.93506165653954,6.880034675305069e-008
32,-19,-15,-18,9,-12,9,10,32.93506161948286,3.174366725033906e-008
32,-19,-15,0,8,14,9,-14,32.93506167451292,8.677372420606844e-008
32,-19,-15,3,-13,-5,-13,3,32.93506154806642,3.967276995808788e-008
32,-19,-15,3,-11,-8,0,-5,32.93506163527751,4.753832172355033e-008
32,-19,-15,11,16,-11,13,17,32.9350615532085,3.453069297165712e-008
32,-19,-15,15,-5,-4,-4,16,32.9350615649138,2.282538957842917e-008
32,-19,-15,17,12,-2,11,4,32.93506155817769,2.95615052436915e-008
32,-19,-14,-15,-9,-12,3,-2,32.93506151759111,7.014808289795838e-008
32,-19,-14,15,-14,-10,12,-18,32.93506160623158,1.849238628892636e-008
32,-19,-14,15,13,9,12,-7,32.93506162186407,3.412488069898245e-008
32,-19,-14,16,-18,-5,-14,-1,32.93506157316,1.457919296399268e-008
32,-19,-13,-13,12,-12,4,19,32.93506155803517,2.97040188002029e-008
32,-19,-13,-6,18,0,13,7,32.93506155618903,3.155015804168215e-008
32,-19,-13,-4,15,3,-3,17,32.93506162603876,3.829956796153056e-008
32,-19,-13,2,-17,-18,14,-15,32.93506150359764,8.414155416858193e-008
32,-19,-13,7,-18,-15,6,-11,32.93506165353078,6.579158906561133e-008
32,-19,-12,-13,-17,-13,-18,12,32.93506154111667,4.662251740228385e-008
32,-19,-12,-1,12,-17,13,16,32.93506162906039,4.132120068334189e-008
32,-19,-12,15,-7,-4,14,-19,32.93506160845878,2.071958959959375e-008
32,-19,-12,15,13,2,14,-2,32.93506150673959,8.099960524532435e-008
32,-19,-11,-19,15,4,10,3,32.93506152596953,6.176966138582429e-008
32,-19,-11,8,14,-14,17,11,32.93506153113355,5.660564283971326e-008
32,-19,-11,12,-17,-8,-2,-9,32.93506168073933,9.300013914526062e-008
32,-19,-10,-18,17,4,9,6,32.93506154017278,4.756641658332228e-008
32,-19,-10,13,-17,-3,-15,-1,32.9350615201579,6.758129700301652e-008
32,-19,-9,-17,15,5,3,9,32.93506154644519,4.129400110741699e-008
32,-19,-9,5,-14,-4,-11,-1,32.93506154597419,4.176499857067029e-008
32,-19,-8,-2,-14,17,-14,-16,32.93506168379503,9.605584239125165e-008
32,-19,-8,17,-12,14,-19,-17,32.93506165130957,6.357038273563376e-008
32,-19,-7,-11,-14,-5,2,-14,32.93506151847092,6.92682746716855e-008
32,-19,-6,-13,-18,-18,-2,0,32.93506152285639,6.488280490657417e-008
32,-19,-6,7,9,1,15,-6,32.93506149236948,9.536971390389226e-008
32,-19,-6,9,14,19,1,-5,32.93506159223085,4.491653271543328e-009
32,-19,-5,-18,19,-4,17,8,32.93506164721433,5.947513415094363e-008
32,-19,-5,-9,-14,-7,-11,2,32.93506167477734,8.70381455797542e-008
32,-19,-5,-6,5,17,-17,6,32.9350616762765,8.853731259250708e-008
32,-19,-5,6,-19,-11,-2,-8,32.93506167703357,8.929438166660475e-008
32,-19,-5,8,14,18,4,-7,32.93506155379689,3.394229963760154e-008
32,-19,-4,-19,19,-14,15,16,32.93506154241219,4.532700614845453e-008
32,-19,-4,-15,3,12,6,-14,32.93506151667442,7.10647682922172e-008
32,-19,-4,7,14,17,7,-9,32.9350615144998,7.323939144043834e-008
32,-19,-4,15,17,11,0,7,32.93506161850414,3.076495147524838e-008
32,-19,-3,-6,14,-6,15,7,32.93506152789038,5.984880857567987e-008
32,-19,-3,7,-18,-8,-2,-10,32.93506165915196,7.141276370248306e-008
32,-19,-3,18,18,8,14,-3,32.93506162849508,4.075588577734379e-008
32,-19,-2,-17,-18,-15,-11,6,32.93506161061777,2.287858080762817e-008
32,-19,-2,4,13,4,17,-7,32.9350616017019,1.396270477016515e-008
32,-19,-2,9,-15,4,0,-19,32.93506150080659,8.69326015617844e-008
32,-19,-1,3,11,4,-9,17,32.93506164161839,5.38791979920461e-008
32,-19,-1,4,14,13,19,-17,32.93506166057004,7.283085068365836e-008
32,-19,-1,15,18,11,1,7,32.9350616236101,3.58709044689931e-008
32,-19,0,0,-7,-10,-14,16,32.93506161642753,2.868834059199799e-008
32,-19,0,1,-19,-8,-11,-2,32.93506168699292,9.925372523866827e-008
32,-19,0,9,16,12,2,3,32.93506163849732,5.07581319197925e-008
32,-19,1,-19,-6,-10,8,-6,32.93506166792016,8.018096764317306e-008
32,-19,1,5,11,-1,0,9,32.93506161925985,3.152065630729339e-008
32,-19,1,8,16,11,5,1,32.93506153499749,5.274170433722247e-008
32,-19,1,12,18,14,-12,17,32.93506160219247,1.445327768578864e-008
32,-19,2,-19,-19,-15,-16,10,32.93506164177309,5.403389735647579e-008
32,-19,3,-13,-12,-3,-15,4,32.93506166481375,7.707455296213084e-008
32,-19,3,-5,-7,14,-15,-5,32.93506158216366,5.5755293715265e-009
32,-19,3,0,10,3,-3,11,32.93506154752269,4.021650568120094e-008
32,-19,3,3,15,16,-15,15,32.93506165980581,7.206661933878422e-008
32,-19,4,-19,-19,-19,-1,-1,32.9350616785486,9.080940799321979e-008
32,-19,4,-10,-19,-11,-12,2,32.93506160643599,1.869679522314982e-008
32,-19,4,1,9,5,-7,12,32.93506166901285,8.127365447307966e-008
32,-19,4,2,15,15,-12,13,32.9350615815764,6.162792942632223e-009
32,-19,4,8,-11,-17,-14,19,32.93506150589543,8.184376554254413e-008
32,-19,5,-17,4,15,-11,1,32.93506162458677,3.684758098643215e-008
32,-19,5,-1,14,3,14,-2,32.93506167634111,8.860192224346974e-008
32,-19,5,1,15,14,-9,11,32.93506149916302,8.85761721747258e-008
32,-19,5,15,-7,-5,7,-10,32.93506160615014,1.841094388055353e-008
32,-19,6,-13,-17,-13,4,-10,32.93506165309136,6.535216812153522e-008
32,-19,6,1,-17,-2,-13,-4,32.93506149027084,9.746835161195122e-008
32,-19,6,9,-9,-15,19,-14,32.93506151059277,7.714641725442561e-008
32,-19,6,17,6,2,14,-10,32.93506165253797,6.479877612264318e-008
32,-19,7,1,5,-14,18,1,32.93506167606685,8.83276598528937e-008
32,-19,7,19,7,8,-1,0,32.93506149516592,9.257327349132538e-008
32,-19,8,-13,-2,-12,7,2,32.93506156967663,1.806256477721036e-008
32,-19,8,-10,13,19,12,-17,32.93506167951681,9.177761484124858e-008
32,-19,8,-6,-12,-5,1,-10,32.93506153211406,5.562512939150111e-008
32,-19,9,2,-7,7,-2,-11,32.93506168253805,9.479885676455524e-008
32,-19,9,9,17,18,17,-17,32.93506167571038,8.797118766779022e-008
32,-19,9,19,7,-10,9,10,32.93506149384739,9.389180632979333e-008
32,-19,10,7,11,-5,13,3,32.93506157846353,9.275666457142506e-009
32,-19,10,8,14,-6,17,3,32.93506156084447,2.689472466954612e-008
