b0,A,B,C,D,E,F,G,Result,Delta
131,-19,-19,-15,3,4,19,12,131.0876886225822,9.164949688056367e-008
131,-19,-19,-5,-3,-5,-11,-19,131.087688570489,3.955628358198737e-008
131,-19,-19,3,-1,16,-10,-16,131.0876886130406,8.210790269913559e-008
131,-19,-18,-14,4,-4,-7,19,131.0876885564479,2.551527700234146e-008
131,-19,-18,-11,-2,-1,-19,-4,131.087688539619,8.686356522957794e-009
131,-19,-18,-11,8,-11,11,16,131.0876886186272,8.769450232648524e-008
131,-19,-18,-3,-2,12,-14,-11,131.0876885439513,1.301867769143428e-008
131,-19,-18,0,1,4,3,6,131.0876885620629,3.113024149570265e-008
131,-19,-18,9,-2,5,-16,-13,131.0876886284783,9.754558050190099e-008
131,-19,-18,16,-1,-15,18,-15,131.0876885092002,2.173251800741127e-008
131,-19,-17,-18,1,-6,-2,13,131.0876884868204,4.411231202539057e-008
131,-19,-17,-18,3,8,8,19,131.0876886291984,9.826575819715799e-008
131,-19,-17,-14,-2,0,-10,-17,131.0876885812189,5.028618943470065e-008
131,-19,-17,-14,2,-12,18,3,131.087688568144,3.721135044543189e-008
131,-19,-17,-4,3,0,16,19,131.0876885701996,3.926695057998586e-008
131,-19,-17,-3,2,-16,19,15,131.087688508679,2.225368689323659e-008
131,-19,-17,2,-9,-2,1,-17,131.0876884845905,4.634219408217177e-008
131,-19,-17,13,-1,11,-16,-2,131.087688475665,5.526766244656756e-008
131,-19,-17,13,1,15,-18,15,131.0876884765828,5.434984018393152e-008
131,-19,-17,17,-1,14,-15,-9,131.0876886263864,9.545371426611382e-008
131,-19,-16,-19,-2,-7,-5,-12,131.0876885889006,5.796789537271252e-008
131,-19,-16,-14,3,5,11,19,131.0876885225657,8.367010195797775e-009
131,-19,-16,2,2,-9,17,15,131.0876885765293,4.559660737868398e-008
131,-19,-16,6,-1,-17,11,-6,131.0876884649071,6.602559210477921e-008
131,-19,-15,-17,1,-12,3,18,131.0876884874888,4.344389026300632e-008
131,-19,-15,-16,2,4,8,12,131.0876886297795,9.884686846817203e-008
