b0,A,B,C,D,E,F,G,Result,Delta
146,-19,-19,-19,13,6,-13,18,146.0009824064473,8.031821607801248e-008
146,-19,-19,19,-17,5,-7,-11,146.0009825440268,5.726124641114438e-008
146,-19,-17,-11,7,6,-2,-11,146.0009824641242,2.264127374473901e-008
146,-19,-16,-7,-1,-2,-2,-2,146.000982394488,9.227747455042845e-008
146,-19,-16,-2,-8,-10,11,12,146.0009825052953,1.852976083682734e-008
146,-19,-12,-14,4,3,-7,10,146.0009824207862,6.597926471840765e-008
146,-19,-1,18,-17,-3,3,-15,146.000982457642,2.912352670136897e-008
146,-19,8,-6,-1,-5,12,-2,146.0009824510835,3.568197826098185e-008
146,-19,8,6,-4,-4,2,4,146.0009824971978,1.043227371155808e-008
146,-19,11,4,-4,8,-12,-4,146.0009824861623,6.032507826603251e-010
146,-19,18,-14,-4,8,-16,5,146.0009824802638,6.50169340588036e-009
146,-18,-18,-8,-2,-6,5,4,146.0009824816453,5.120170953887282e-009
146,-18,-18,5,-2,-1,-1,-4,146.0009824675071,1.92584082014946e-008
146,-18,-16,-5,-5,11,-17,-4,146.0009824291761,5.758940346822783e-008
146,-18,-15,-14,-3,-1,2,1,146.0009824168259,6.9939602553859e-008
146,-18,-15,14,-1,1,7,-7,146.0009825330561,4.629058025784616e-008
146,-18,-15,15,-15,-1,19,-19,146.0009824175108,6.925475304342399e-008
146,-18,-12,-11,-1,-4,10,-13,146.0009824640995,2.266597221023403e-008
146,-18,-11,-19,3,-7,9,1,146.000982586384,9.96185178792075e-008
146,-18,-9,-17,-12,-1,3,-3,146.0009825730187,8.625318059785059e-008
146,-18,-9,-6,-4,5,-5,1,146.0009825815055,9.473998829889752e-008
146,-18,-8,-3,-1,12,-13,-18,146.0009825042598,1.749432954056829e-008
146,-18,-6,-11,-5,-6,4,8,146.000982438202,4.856352120441443e-008
146,-18,-5,-12,2,5,-14,10,146.0009825090079,2.224237505288329e-008
146,-18,-5,-8,2,8,-9,-8,146.0009825808387,9.407321499566024e-008
146,-18,-2,1,-4,-3,12,2,146.0009824343264,5.243913392405375e-008
146,-18,1,-6,-2,6,-6,-5,146.0009824831065,3.659039293779642e-009
146,-18,4,-16,-2,-5,19,-9,146.0009824804881,6.277417696765042e-009
146,-18,6,-18,-5,-11,14,12,146.0009825645218,7.775628318995587e-008
146,-18,6,-2,1,2,5,-10,146.0009825362301,4.946460308019596e-008
146,-18,8,2,-14,-8,8,12,146.0009824687023,1.806321847652725e-008
146,-17,-19,2,5,1,8,-11,146.0009825355074,4.874189585279964e-008
146,-17,-14,-19,3,8,-19,17,146.000982554857,6.809150931985641e-008
146,-17,-14,-13,-11,2,9,-10,146.0009824681953,1.857017650763737e-008
146,-17,-12,3,-1,10,-19,4,146.0009823912402,9.552528013045958e-008
146,-17,-10,9,8,14,-19,-15,146.0009824365789,5.018657134314708e-008
146,-17,-7,-1,2,-10,16,3,146.0009825390682,5.230265287536895e-008
146,-17,-6,-17,2,1,-8,6,146.0009824555382,3.122735847682634e-008
146,-17,-4,-7,-2,1,9,-18,146.0009824729207,1.384483994115726e-008
146,-17,0,-16,3,11,-13,-14,146.0009825301327,4.336720849096309e-008
146,-17,2,-12,2,9,-19,8,146.000982411417,7.534853807555919e-008
146,-17,5,-3,-1,-9,13,6,146.0009824455841,4.118143692721787e-008
146,-17,5,1,-9,12,-18,-9,146.0009825738488,8.70832934651844e-008
146,-17,5,11,-18,-8,16,-5,146.0009824611686,2.559690415182558e-008
146,-17,13,-8,2,9,-11,-11,146.0009823888194,9.794609923119424e-008
146,-16,-19,-14,-2,-1,-15,19,146.0009824179842,6.878127578602289e-008
146,-16,-19,-4,11,-8,10,5,146.0009825148908,2.812529942275432e-008
146,-16,-18,-12,2,6,-4,-7,146.0009825341681,4.740255121760129e-008
146,-16,-18,-12,12,10,-19,5,146.0009825440607,5.729521035391372e-008
146,-16,-18,2,-2,-1,15,-18,146.0009825584037,7.163816917454824e-008
146,-16,-17,3,5,-11,17,5,146.0009824416407,4.512477858042985e-008
146,-16,-16,-11,2,-4,9,-8,146.0009824285847,5.818083081976511e-008
146,-16,-15,-2,2,9,-6,-19,146.0009825834712,9.670566214481369e-008
146,-16,-14,-13,6,-2,7,11,146.0009825130874,2.63218566942669e-008
146,-16,-13,10,-6,-15,19,19,146.0009824091541,7.761138931527967e-008
146,-16,-12,-9,-18,9,-9,-12,146.0009824728915,1.387400061503286e-008
146,-16,-11,-9,-12,3,0,-9,146.0009825222421,3.547660298863775e-008
146,-16,-9,-3,4,1,-4,-11,146.0009824263843,6.038123956386698e-008
146,-16,-8,-7,2,-11,11,18,146.000982444027,4.273854870007199e-008
146,-16,-8,-2,-3,-6,16,-3,146.0009824262843,6.048119871593372e-008
146,-16,-7,-3,5,-3,-2,4,146.0009824269455,5.982002448945423e-008
146,-16,-6,-16,-2,-3,3,14,146.0009824587927,2.797278852995078e-008
146,-16,-1,-6,-4,-9,7,18,146.0009824246346,6.213087999640266e-008
146,-16,2,-13,-7,-3,10,-15,146.0009824684107,1.835485363699263e-008
146,-16,2,-5,-19,-10,12,12,146.0009825534055,6.663995577582682e-008
146,-16,3,19,-1,8,-18,8,146.0009824609859,2.577957047833479e-008
146,-16,6,5,-2,-1,12,-10,146.0009824211603,6.560517817888467e-008
146,-16,9,-19,1,-1,3,-1,146.0009824987949,1.202943167299964e-008
146,-16,12,14,12,0,6,-11,146.0009824470041,3.976143148065603e-008
146,-16,12,16,1,6,-11,1,146.0009825112045,2.443900370963092e-008
146,-16,14,12,7,1,9,-17,146.0009825244793,3.771378942474257e-008
146,-16,15,1,19,7,-9,-8,146.0009824525056,3.425995487305045e-008
146,-15,-15,14,-1,-8,8,11,146.0009824497677,3.699778972077183e-008
146,-15,-14,-18,2,-3,-1,-2,146.0009823962398,9.052575933310436e-008
146,-15,-13,-10,2,-9,6,19,146.0009825105007,2.373514007558697e-008
146,-15,-10,11,-2,2,-2,-3,146.0009824416559,4.510965823101287e-008
146,-15,-7,-18,-2,1,13,-16,146.0009824453531,4.141242015975877e-008
146,-15,-5,-15,1,-9,16,-2,146.0009824124274,7.433814630530833e-008
146,-15,-5,-1,-9,-5,12,-17,146.0009825194933,3.272779736107623e-008
146,-15,-4,-19,-1,1,11,-17,146.000982407308,7.945752145133156e-008
146,-15,-4,3,1,4,4,-18,146.0009824202408,6.65246773223771e-008
146,-15,-2,6,19,1,8,-18,146.000982515901,2.91355206627486e-008
146,-15,0,-18,5,-2,9,-13,146.0009823921107,9.465478001402516e-008
146,-15,4,-19,-7,-8,18,13,146.0009824377927,4.897276539850282e-008
146,-15,4,9,11,-8,13,3,146.0009825630346,7.626911724400998e-008
146,-15,5,14,10,-8,17,-5,146.0009823923422,9.442331361242395e-008
146,-15,8,-12,-2,10,-11,-15,146.0009824735894,1.317607711825986e-008
146,-15,16,-18,-13,-6,14,-11,146.0009825695808,8.281531904685835e-008
