b0,A,B,C,D,E,F,G,Result,Delta
48,-19,-17,4,1,-7,14,-11,48.00515078407073,9.709643222777231e-008
48,-19,-16,17,-1,-13,19,10,48.00515093693501,5.576784900540588e-008
48,-19,-15,14,-1,5,-18,8,48.00515085675382,2.441333890601527e-008
48,-19,-11,-17,1,-6,-1,18,48.00515087214755,9.019615276883997e-009
48,-19,-10,8,-9,-10,18,-2,48.00515092479336,4.362619421272029e-008
48,-19,-6,-9,9,-2,11,-9,48.00515087058147,1.05856940990634e-008
48,-19,-3,-14,-7,6,-12,12,48.00515080886435,7.230281084957824e-008
48,-19,-2,16,-1,-4,5,7,48.00515091665913,3.549197202801224e-008
48,-19,-1,-18,3,4,-9,-9,48.00515093541833,5.425116711421651e-008
48,-19,-1,-17,-4,11,-15,-9,48.00515087473458,6.432586019400333e-009
48,-19,-1,-15,1,-2,12,-13,48.00515084763787,3.352928956701362e-008
48,-19,1,-5,-2,-1,-3,6,48.0051508216073,5.955985926675567e-008
48,-19,5,-18,-3,-12,17,10,48.00515091500285,3.383568980552809e-008
48,-19,5,15,13,2,-7,7,48.0051508801979,9.692655567050679e-010
48,-19,7,-19,1,0,-2,8,48.00515085715936,2.400780374500755e-008
48,-19,7,-18,-1,0,2,-8,48.00515093854173,5.737457087207076e-008
48,-19,8,-19,7,-8,17,-9,48.00515086948445,1.168270813423078e-008
48,-19,10,8,7,13,-19,-12,48.00515087339676,7.770402987716807e-009
48,-19,19,8,12,-6,3,16,48.00515090642725,2.526008557879322e-008
48,-18,-19,-5,2,6,-11,11,48.00515078741031,9.375685294799041e-008
48,-18,-18,-10,15,-10,12,10,48.00515096495688,8.378971472211561e-008
48,-18,-18,-6,3,-9,19,-11,48.00515079061999,9.054717509116017e-008
48,-18,-17,0,-11,-8,7,11,48.00515084645198,3.471517828756987e-008
48,-18,-17,19,-1,10,-19,4,48.0051509176043,3.643713597512033e-008
48,-18,-14,-18,1,4,-9,10,48.00515087275316,8.414005492340948e-009
48,-18,-14,-10,-1,12,-13,-17,48.0051508331636,4.800356379064397e-008
48,-18,-13,5,-10,-1,7,-2,48.00515078318988,9.797728495186675e-008
48,-18,-12,-9,-18,2,-3,8,48.00515094754278,6.637561966726935e-008
48,-18,-12,12,-3,-3,3,-4,48.00515085162366,2.954350009076734e-008
48,-18,-9,-2,2,-5,9,6,48.00515085656215,2.460501491441391e-008
48,-18,-9,6,-5,10,-14,-7,48.00515093889059,5.77234260390469e-008
48,-18,-8,-16,-8,4,2,-9,48.00515097606589,9.489873065149368e-008
48,-18,-6,2,4,0,1,-4,48.00515094356152,6.239436345367722e-008
48,-18,1,5,1,-2,-10,19,48.00515082634786,5.481930287487558e-008
48,-18,5,2,1,-5,15,-11,48.00515096774627,8.657910655074375e-008
48,-18,5,14,1,13,-16,-18,48.00515097908331,9.791614985488195e-008
48,-18,8,-1,1,5,-6,-1,48.00515093346731,5.230015176493907e-008
48,-18,9,-17,-10,-1,13,7,48.00515093650909,5.53419283733092e-008
48,-18,9,-13,-2,0,7,2,48.00515096557118,8.4404014444317e-008
48,-18,17,9,-19,-5,3,10,48.00515085847353,2.269363363893717e-008
48,-17,-19,-19,1,8,-15,8,48.00515097428828,9.312112325687849e-008
48,-17,-14,-18,1,-1,-5,14,48.00515090918223,2.801507292815586e-008
48,-17,-14,-18,2,3,-10,5,48.00515094850454,6.733738189268479e-008
48,-17,-12,-16,-3,1,-9,10,48.00515085826859,2.289857548021246e-008
48,-17,-10,-5,-18,-7,18,1,48.00515092003194,3.886478339154564e-008
48,-17,-9,-9,2,3,7,-16,48.00515078943246,9.173469806000867e-008
48,-17,-8,-5,-14,-5,4,2,48.00515081039676,7.07704046476465e-008
48,-17,-7,-4,2,2,-3,-11,48.00515078374151,9.74256550989594e-008
48,-17,-6,-11,1,-13,17,14,48.00515089328412,1.211695632719056e-008
48,-17,-3,-17,5,8,-17,10,48.00515082579896,5.536820424367761e-008
48,-17,0,-6,-1,1,-4,6,48.00515092764361,4.647645113209364e-008
48,-17,1,-16,-15,3,1,-14,48.0051507961421,8.502505721708076e-008
48,-17,4,-18,-9,-5,14,-8,48.00515079932276,8.184439792557896e-008
48,-17,5,-16,1,-10,11,14,48.00515083197344,4.919372287304213e-008
48,-17,16,-17,-1,9,-7,-19,48.0051509392062,5.803903491141682e-008
48,-17,18,-10,-2,1,2,-6,48.00515085660513,2.456203418432779e-008
48,-16,-19,-17,-1,3,4,-5,48.00515079521578,8.595138467626384e-008
48,-16,-18,-11,1,6,-14,-2,48.00515080723672,7.393044398895654e-008
48,-16,-16,-9,1,2,-6,-16,48.0051508393864,4.17807655139768e-008
48,-16,-16,-4,-18,4,-14,10,48.0051508058729,7.529425971597448e-008
48,-16,-13,-11,1,-5,7,13,48.00515083736872,4.379844398272326e-008
48,-16,-13,3,-18,-2,1,5,48.00515095366966,7.250250178003626e-008
48,-16,-12,-19,3,6,-19,-9,48.00515089452324,1.335607890950996e-008
48,-16,-11,-2,-3,-7,4,14,48.00515095462644,7.345927599544666e-008
48,-16,-11,2,-1,-8,11,4,48.00515082615655,5.501060940105162e-008
48,-16,-10,4,-14,9,-15,0,48.00515091454655,3.337938636605031e-008
48,-16,-9,2,-2,-10,9,18,48.00515082684478,5.432237770719439e-008
48,-16,-8,-15,5,-5,0,12,48.00515095205183,7.088466702498408e-008
48,-16,-4,-10,-2,-2,13,1,48.00515096216088,8.099372195147225e-008
48,-16,-4,1,1,-5,-1,16,48.00515088205699,8.898268788470887e-010
48,-16,-1,-6,-14,-14,17,19,48.00515080726527,7.39018943818337e-008
48,-16,3,-10,4,5,-1,-12,48.00515092700596,4.583879587016781e-008
48,-16,3,17,9,-11,17,8,48.0051507885235,9.264365985472978e-008
48,-16,6,-1,-14,11,-14,-13,48.00515083140619,4.97609704552815e-008
48,-16,7,-18,2,-3,4,12,48.00515091160518,3.043801655167044e-008
48,-16,8,-19,-1,13,-17,-15,48.00515088686555,5.698389315966779e-009
48,-16,8,7,17,2,-13,16,48.00515092618758,4.502042116882876e-008
48,-15,-18,-16,-12,-2,-2,5,48.0051509129915,3.182434227255726e-008
48,-15,-16,-15,-1,-10,8,19,48.00515079365227,8.75148913337398e-008
48,-15,-16,0,-1,8,-12,-1,48.00515079780871,8.335845080864601e-008
