b0,A,B,C,D,E,F,G,Result,Delta
231,-19,-19,-12,2,11,8,-10,231.2501886472067,5.329243890628277e-008
231,-19,-19,-12,6,2,16,7,231.2501886939473,6.551857723025023e-009
231,-19,-19,-1,-5,-11,8,-18,231.2501886389083,6.159089593893441e-008
231,-19,-19,6,-11,-1,6,-16,231.2501887461578,4.565865197037056e-008
231,-19,-18,-16,-9,5,-3,0,231.2501886745642,2.593492354208138e-008
231,-19,-18,-8,-8,-3,-13,-17,231.2501886746396,2.585960601209081e-008
231,-19,-18,2,-7,-3,-7,-19,231.2501886654451,3.50541142779548e-008
231,-19,-18,9,-8,11,-15,-7,231.250188699109,1.39013422995049e-009
231,-19,-17,-18,4,4,1,13,231.250188785662,8.516278171555314e-008
231,-19,-17,-2,-3,-2,-8,-4,231.2501887379598,3.746066568055539e-008
231,-19,-17,6,5,2,1,18,231.2501886511574,4.934179287374718e-008
231,-19,-17,13,-4,-1,-7,-9,231.2501887582194,5.772022859673598e-008
231,-19,-16,-15,-5,11,-17,-17,231.2501887486143,4.811508347302151e-008
231,-19,-16,-11,-6,14,-17,-12,231.2501886837067,1.679242700447503e-008
231,-19,-16,18,-3,-8,13,-18,231.2501887139009,1.340177391284669e-008
231,-19,-15,-19,5,8,5,8,231.2501886042541,9.624508834349399e-008
231,-19,-15,-12,-7,3,-14,-19,231.2501886872298,1.326935716861044e-008
231,-19,-15,-10,-5,-1,0,10,231.2501887254226,2.492342332516273e-008
231,-19,-15,13,3,3,-1,10,231.2501886623264,3.817277161033417e-008
231,-19,-15,19,3,-4,16,1,231.2501886746975,2.580171098998108e-008
231,-19,-14,-5,-5,-10,6,-17,231.2501886733341,2.716510039135756e-008
231,-19,-14,3,4,-13,9,18,231.2501886045673,9.593188110557094e-008
231,-19,-12,-12,-1,-11,-8,14,231.2501886457866,5.471255803968234e-008
231,-19,-12,-10,6,2,8,15,231.2501887194933,1.899408630379185e-008
231,-19,-12,-6,-8,13,-19,-7,231.2501886650868,3.541239834703447e-008
231,-19,-12,-6,-3,-12,7,-8,231.2501887285553,2.805612098200072e-008
231,-19,-12,9,2,1,-4,13,231.2501886331925,6.730670065735467e-008
231,-19,-11,-7,1,5,2,-1,231.2501886335709,6.692829401799827e-008
231,-19,-10,-16,-2,-7,-19,17,231.2501886308149,6.968429033804569e-008
231,-19,-10,-13,-2,-9,-10,10,231.2501887114416,1.094247181754326e-008
231,-19,-10,-13,5,4,7,10,231.2501887017814,1.282216999243246e-009
231,-19,-10,-10,15,-2,2,-4,231.2501886492458,5.125338020661729e-008
231,-19,-10,7,5,-11,14,19,231.2501886669529,3.354625732754357e-008
231,-19,-9,-5,2,-9,2,13,231.2501887200639,1.956476580744493e-008
231,-19,-8,-6,-1,-15,14,-4,231.2501887076035,7.104347332642647e-009
231,-19,-8,6,2,-2,17,-6,231.2501887313719,3.087268396484433e-008
231,-19,-7,-9,5,3,4,14,231.2501887053068,4.807617415281129e-009
231,-19,-7,-8,3,-19,13,17,231.2501887702685,6.976929967095202e-008
231,-19,-7,-4,-1,-2,-10,6,231.250188660659,3.984018803748768e-008
231,-19,-7,-2,10,-3,-3,18,231.2501888002921,9.979291348827246e-008
231,-19,-6,-16,-6,-4,-12,-9,231.2501887358852,3.538605142239248e-008
231,-19,-6,-15,1,-3,-8,11,231.2501887821134,8.161421760632948e-008
