b0,A,B,C,D,E,F,G,Result,Delta
236,-19,-19,-12,-11,-16,8,-14,236.5242296374944,2.832180712175614e-008
236,-19,-19,-2,16,3,13,15,236.5242296516481,1.416805162079982e-008
236,-19,-19,1,15,8,6,15,236.5242297182438,5.242756628831558e-008
236,-19,-19,15,-18,-4,-17,-14,236.5242296994884,3.367222234373912e-008
236,-19,-18,-19,2,-11,14,-3,236.5242296436903,2.212593130934693e-008
236,-19,-18,-19,16,14,12,5,236.5242295983404,6.747578140675614e-008
236,-19,-18,-14,17,4,17,12,236.5242297357529,6.99367035394971e-008
236,-19,-18,-7,9,-1,3,19,236.5242296776911,1.187490283882653e-008
236,-19,-18,11,13,9,14,2,236.5242297340649,6.824873821642541e-008
236,-19,-17,-18,10,-6,19,10,236.5242295742262,9.159001024272584e-008
236,-19,-17,5,-10,-7,-6,-7,236.5242296758185,1.000233851300436e-008
236,-19,-17,7,-17,-10,-19,-4,236.5242296270906,3.872563070217439e-008
236,-19,-17,8,-7,-8,-18,12,236.5242297093027,4.348655124886136e-008
236,-19,-17,10,9,-4,16,6,236.5242297421098,7.629361675753899e-008
236,-19,-16,-8,15,11,12,6,236.5242297307825,6.496625815088919e-008
236,-19,-16,-1,-9,-14,4,-8,236.5242295836859,8.213029900616675e-008
236,-19,-15,-18,7,-14,15,9,236.5242297100011,4.418490107127582e-008
236,-19,-15,-8,9,-12,8,18,236.5242297132813,4.746510740005761e-008
236,-19,-15,2,-18,-9,-15,-11,236.5242297192964,5.348022114048945e-008
236,-19,-15,9,-17,-13,-3,-17,236.5242296204808,4.533541186901857e-008
236,-19,-15,9,13,13,-3,15,236.5242296207836,4.503263539845648e-008
236,-19,-15,19,-3,-19,-3,16,236.5242297327403,6.692405918329314e-008
236,-19,-14,-19,-9,-3,-10,-6,236.5242296055268,6.028938059898792e-008
236,-19,-14,-5,-12,-6,-6,-12,236.524229696711,3.089482447649061e-008
236,-19,-14,-2,-8,-9,-17,10,236.5242296689895,3.173283857904607e-009
236,-19,-14,-1,-4,-9,5,-5,236.5242297414202,7.560399239991966e-008
236,-19,-14,6,-12,-4,-3,-17,236.5242296833038,1.748762201714271e-008
236,-19,-14,7,-14,3,-16,-15,236.5242296623815,3.434735162954894e-009
