b0,A,B,C,D,E,F,G,Result,Delta
147,-19,-19,-16,9,-9,11,4,147.4227652979991,4.456052238310804e-008
147,-19,-19,-1,10,17,10,-3,147.42276535192,9.360348940390395e-009
147,-19,-19,2,7,18,-4,3,147.4227653999955,5.743586939388479e-008
147,-19,-19,13,-6,19,-16,-16,147.422765322884,1.967566731764237e-008
147,-19,-18,-18,18,11,13,19,147.4227654418179,9.925832955559599e-008
147,-19,-18,-4,-8,-12,8,-16,147.4227653400556,2.504037865946884e-009
147,-19,-18,7,-16,6,-3,-8,147.4227653263698,1.618985834284104e-008
147,-19,-18,10,13,7,6,18,147.4227652561505,8.640915893920464e-008
147,-19,-18,19,-10,-18,-4,-2,147.4227654362819,9.372223530590418e-008
147,-19,-17,-16,2,11,3,-8,147.4227653049946,3.756500177587441e-008
147,-19,-17,-13,-8,8,-12,-16,147.4227652463559,9.620376317798218e-008
147,-19,-17,-12,-9,10,-8,-13,147.4227654279057,8.534613016308867e-008
147,-19,-17,-8,8,8,-7,19,147.4227652808459,6.171367772367375e-008
147,-19,-17,4,-12,-17,7,-19,147.4227653956448,5.30851309576974e-008
147,-19,-17,12,-5,-5,-1,-7,147.4227653938225,5.126290147927648e-008
147,-19,-16,-16,4,-10,13,13,147.4227652439982,9.856140081865306e-008
147,-19,-16,-14,-9,-14,-19,11,147.4227652622217,8.033788390093832e-008
147,-19,-16,-12,-17,-9,-15,-17,147.4227652702834,7.227617970784195e-008
147,-19,-16,-11,-6,-18,3,0,147.4227652747349,6.782471473343321e-008
147,-19,-16,-9,-4,5,-19,2,147.4227652949318,4.762782168654667e-008
147,-19,-16,3,10,17,-10,17,147.422765315591,2.696859269235574e-008
147,-19,-16,8,13,6,9,16,147.4227654214446,7.888493769314664e-008
147,-19,-16,9,7,12,-8,13,147.4227652912155,5.1344159146538e-008
147,-19,-15,-19,15,9,12,15,147.4227653120004,3.055924935324583e-008
147,-19,-15,-10,-7,-6,-3,-9,147.4227653493174,6.7577730078483e-009
147,-19,-15,-3,13,19,9,3,147.4227652876475,5.491216370501206e-008
147,-19,-15,4,16,17,3,18,147.4227652976333,4.492628136176791e-008
147,-19,-15,9,-12,-9,-6,-14,147.4227654100619,6.750232728336414e-008
147,-19,-15,10,-5,4,-18,1,147.4227652738491,6.871053415125061e-008
147,-19,-15,13,-5,-4,-2,-7,147.4227653755777,3.30181251229078e-008
147,-19,-15,16,10,-1,9,16,147.4227653162657,2.629394657560624e-008
147,-19,-15,17,2,15,7,-17,147.4227654211521,7.859244988139835e-008
147,-19,-15,18,-4,-16,19,-13,147.4227654024313,5.98716951571987e-008
147,-19,-14,-15,-19,-9,16,-4,147.4227652778543,6.470531843660865e-008
147,-19,-14,-7,15,-1,19,18,147.4227653203738,2.218581585111679e-008
147,-19,-14,-4,-12,-17,-1,-11,147.4227653386293,3.930352932002279e-009
147,-19,-14,-4,13,18,12,1,147.4227653014539,4.110569307158585e-008
147,-19,-14,3,16,16,6,16,147.422765312355,3.020460326297325e-008
147,-19,-14,6,16,6,17,15,147.4227653092251,3.333448717057763e-008
147,-19,-14,19,-11,4,-14,-17,147.4227654290888,8.652918381812924e-008
147,-19,-13,-8,-16,7,-15,-8,147.4227653702095,2.764986106740253e-008
147,-19,-13,-5,13,17,15,-1,147.4227653156618,2.689782263587404e-008
147,-19,-13,0,10,15,-4,13,147.4227652480113,9.45483407122083e-008
147,-19,-13,2,-15,-11,-19,-6,147.4227652808024,6.175724820423056e-008
147,-19,-13,2,16,15,9,14,147.4227653275315,1.50281493915827e-008
147,-19,-13,4,8,-4,15,9,147.4227653030484,3.951120675083075e-008
147,-19,-13,7,6,-12,12,12,147.4227652882409,5.431871841210523e-008
147,-19,-13,9,-2,16,-8,-12,147.4227652597638,8.279585017589852e-008
147,-19,-13,18,7,-10,19,8,147.4227653533529,1.079325784303364e-008
147,-19,-12,-19,-2,6,-8,7,147.4227653151732,2.738642024269211e-008
147,-19,-12,-18,-10,-7,-1,-17,147.4227652897163,5.284331905386352e-008
147,-19,-12,-14,-3,11,-2,-14,147.4227653806589,3.809927306974714e-008
147,-19,-12,-6,13,16,18,-3,147.4227653302906,1.226902668349794e-008
147,-19,-12,-5,-3,-4,2,0,147.4227654289998,8.644013860248379e-008
147,-19,-12,-5,13,19,5,7,147.4227653811343,3.857465458168008e-008
147,-19,-12,-3,-8,8,-1,-19,147.4227652866514,5.590823093371e-008
147,-19,-12,0,-7,-17,-19,19,147.4227652596103,8.294935582853213e-008
147,-19,-12,1,16,14,12,12,147.4227653431868,6.271534402912948e-010
147,-19,-12,6,7,7,5,5,147.4227653160196,2.653999331414525e-008
147,-19,-12,8,-18,-15,-10,-18,147.4227653395606,2.999058779096231e-009
147,-19,-12,13,4,-6,18,-12,147.4227652872776,5.528201540982991e-008
147,-19,-11,-15,-3,-11,-14,17,147.4227653119166,3.064303655264666e-008
147,-19,-11,-6,13,18,8,5,147.4227653968031,5.424348614724295e-008
147,-19,-11,-4,-9,-18,14,-18,147.4227654411024,9.854281302068557e-008
147,-19,-11,0,16,13,15,10,147.4227653593466,1.678694161455496e-008
147,-19,-11,2,-9,-9,-5,-8,147.4227652845601,5.799955715701799e-008
147,-19,-11,7,-18,-14,-13,-16,147.4227654023082,5.974854389023676e-008
147,-19,-11,10,-18,-12,-12,-19,147.4227654335109,9.095126074498694e-008
147,-19,-11,12,7,4,0,13,147.4227652919438,5.061582442067447e-008
147,-19,-10,-7,13,17,11,3,147.4227654129468,7.038713079055015e-008
147,-19,-10,-1,16,12,18,8,147.4227653760393,3.3479722105767e-008
147,-19,-9,-14,-12,-17,-9,-3,147.4227653134564,2.910320517912624e-008
147,-19,-9,-10,10,19,1,4,147.4227652834591,5.910050049351412e-008
147,-19,-9,-8,13,16,14,1,147.4227654295896,8.702997433829296e-008
147,-19,-9,-7,9,-12,13,14,147.4227652774161,6.514352435260662e-008
147,-19,-9,-5,6,11,-12,16,147.422765251631,9.092860864257091e-008
147,-19,-9,0,2,-9,11,0,147.4227653755077,3.294809403087129e-008
147,-19,-9,19,5,-5,12,-4,147.4227653248682,1.769143409546814e-008
147,-19,-8,-12,5,-9,16,7,147.4227653816435,3.908388634954463e-008
147,-19,-8,-11,10,18,4,2,147.4227654031386,6.057896939637431e-008
147,-19,-8,-1,10,4,18,2,147.4227653828748,4.031520006719802e-008
147,-19,-8,4,9,-10,17,15,147.4227653299906,1.256898940482643e-008
147,-19,-7,-16,-6,-17,5,-3,147.4227652949249,4.763469974022883e-008
147,-19,-7,-15,4,16,12,-18,147.4227653647907,2.223106321252999e-008
147,-19,-7,-12,2,-7,16,-4,147.4227652444064,9.815320822781359e-008
147,-19,-7,-11,-12,-12,-16,-1,147.4227653418345,7.251514944073279e-010
147,-19,-7,-9,4,15,4,-9,147.4227653757313,3.317171604066971e-008
147,-19,-7,-3,-18,-19,-12,-12,147.4227653459576,3.398014314370812e-009
147,-19,-7,-3,-15,-12,-14,-10,147.4227653804159,3.785629587582662e-008
147,-19,-7,3,10,0,17,7,147.4227654243017,8.174211529876629e-008
147,-19,-7,8,5,19,7,-14,147.4227653117272,3.083243882429088e-008
