b0,A,B,C,D,E,F,G,Result,Delta
37,-19,-19,-17,-17,-16,4,-18,37.5861781518751,6.950571673769446e-009
37,-19,-19,-12,-11,-11,1,-10,37.58617811741355,4.141212173180975e-008
37,-19,-19,-11,11,7,-6,19,37.5861782418402,8.301452680825605e-008
37,-19,-19,-11,18,19,19,-7,37.58617821472705,5.590137419630992e-008
37,-19,-19,-8,-10,6,-12,16,37.58617824165133,8.282565744366366e-008
37,-19,-19,-2,12,12,-2,11,37.58617809586411,6.296156129792507e-008
37,-19,-18,-14,15,16,15,-5,37.58617815453517,4.290505728477001e-009
37,-19,-18,-7,-9,-2,-14,-1,37.58617818382429,2.499861295746086e-008
37,-19,-18,12,-14,-4,-2,-19,37.58617811805871,4.076696313859429e-008
37,-19,-18,12,2,15,-8,-3,37.58617818005509,2.122941822335633e-008
37,-19,-18,13,2,-5,-7,14,37.5861781655745,6.74882727480508e-009
37,-19,-17,-13,-13,-16,-6,-1,37.58617811175267,4.707300149675575e-008
37,-19,-17,-4,4,6,8,-6,37.58617819063388,3.180820584702815e-008
37,-19,-17,5,-9,1,-7,-11,37.58617825343361,9.46079339314565e-008
37,-19,-17,6,-16,-14,3,-17,37.58617810490958,5.391609647631412e-008
37,-19,-17,14,14,11,13,0,37.58617813391653,2.490914141617395e-008
37,-19,-16,-19,9,1,2,14,37.58617818526331,2.643763963305901e-008
37,-19,-16,-6,18,12,13,6,37.58617810523421,5.359146371120005e-008
37,-19,-16,-3,18,9,12,10,37.58617806583155,9.299412795371609e-008
37,-19,-16,2,-16,3,-15,-17,37.58617821098605,5.216037379796035e-008
37,-19,-16,2,-16,9,-18,10,37.58617815203048,6.795197293740785e-009
37,-19,-16,6,-15,16,-17,-19,37.58617823380124,7.4975559982704e-008
37,-19,-16,11,-5,-18,0,9,37.58617823664695,7.782127653399584e-008
37,-19,-16,13,11,6,12,1,37.58617822769761,6.887193393367852e-008
37,-19,-16,14,7,-5,15,5,37.58617822189459,6.306891719987107e-008
37,-19,-15,-1,-3,-16,9,1,37.58617822684445,6.801877105999665e-008
37,-19,-15,5,-12,8,-15,-13,37.58617811254121,4.628446248489126e-008
37,-19,-15,10,11,13,-1,7,37.58617815255133,6.274341046719201e-009
37,-19,-14,-13,12,13,6,2,37.58617807813846,8.068721513154742e-008
37,-19,-14,-11,18,19,2,10,37.58617822414043,6.531475804649745e-008
37,-19,-14,-3,-19,-16,-14,-3,37.58617817819463,1.936895444032416e-008
37,-19,-14,0,10,6,-7,19,37.58617821588165,5.705597772021065e-008
37,-19,-14,14,-15,-13,-19,6,37.58617816779714,8.971461795681535e-009
37,-19,-14,16,5,-3,10,2,37.58617813701039,2.181528913069997e-008
37,-19,-14,18,-9,3,-14,-5,37.58617810631902,5.250665680023303e-008
37,-19,-13,-15,-10,5,-12,-18,37.58617809670148,6.212419378925915e-008
37,-19,-13,0,-3,3,-10,0,37.58617822607639,6.725070988977677e-008
37,-19,-13,3,11,-3,15,8,37.58617823065428,7.18286017331593e-008
37,-19,-13,7,-14,-3,-5,-17,37.58617816827094,9.445265902741085e-009
37,-19,-13,9,-6,-14,13,-10,37.58617824901306,9.018738467148069e-008
37,-19,-13,9,11,7,13,-1,37.58617816414038,5.314703344083682e-009
37,-19,-13,15,-6,12,-19,-9,37.58617808349581,7.532986501246342e-008
37,-19,-13,16,7,-5,-3,17,37.58617813507495,2.375072938320955e-008
37,-19,-12,-15,16,3,9,16,37.58617807311871,8.570696508058973e-008
37,-19,-12,-7,9,11,-2,7,37.586178075829,8.299667797473376e-008
37,-19,-12,-3,8,16,13,-15,37.58617824084633,8.202065515661161e-008
37,-19,-12,6,-2,4,13,-19,37.58617817696849,1.81428134737871e-008
37,-19,-12,15,11,-4,16,7,37.58617808069884,7.812683122665476e-008
37,-19,-11,-16,9,13,4,-1,37.58617819361234,3.478666599221469e-008
37,-19,-11,-10,9,-16,19,10,37.58617820333335,4.45076722144222e-008
37,-19,-11,-9,-13,-12,-6,-5,37.58617812504213,3.378355017957802e-008
37,-19,-11,-4,5,18,0,-9,37.58617806765719,9.116848787016352e-008
37,-19,-11,5,-17,2,-14,-18,37.58617812465698,3.416869276406942e-008
37,-19,-11,9,11,3,17,-1,37.58617818128666,2.24609877363946e-008
37,-19,-10,-1,-15,6,-17,-13,37.58617822508035,6.625467818821562e-008
37,-19,-10,0,-5,-2,6,-14,37.58617817262754,1.380186631649849e-008
37,-19,-10,1,-12,4,-12,-17,37.58617809761479,6.121088347299519e-008
37,-19,-10,4,-16,-11,1,-18,37.58617815685221,1.973461394300102e-009
37,-19,-10,4,11,18,-12,13,37.58617807412636,8.46993160052989e-008
37,-19,-9,-16,8,-9,18,-10,37.58617816223003,3.40435946100115e-009
37,-19,-9,-4,-9,-10,-19,13,37.58617818411246,2.528678066937573e-008
37,-19,-8,-18,12,15,-2,8,37.58617815143712,7.388557321519329e-009
37,-19,-8,-17,15,17,-5,14,37.5861782157715,5.694582938531312e-008
37,-19,-8,-17,18,14,17,0,37.58617806805818,9.076749307723731e-008
37,-19,-8,-15,-9,2,-4,-2,37.58617805982544,9.900023201225849e-008
37,-19,-8,13,-11,3,-16,-7,37.58617814871617,1.010950967383906e-008
37,-19,-7,-9,4,-12,11,6,37.58617825120515,9.237947296014681e-008
37,-19,-7,-8,5,15,9,-15,37.58617808979301,6.903266580593481e-008
37,-19,-7,-3,13,-8,18,14,37.58617807403375,8.479192814547787e-008
37,-19,-7,1,-10,-6,1,16,37.58617817055244,1.172676888927526e-008
37,-19,-7,2,8,-4,9,11,37.58617814711384,1.171183328096959e-008
37,-19,-7,7,14,6,3,15,37.58617819501309,3.618741573063744e-008
37,-19,-7,10,-10,15,-15,-15,37.58617825407681,9.525113142672126e-008
37,-19,-7,11,-13,11,-17,-18,37.58617825569891,9.687323654361535e-008
37,-19,-6,-16,-18,3,0,-5,37.58617809811004,6.07156351861704e-008
37,-19,-6,-12,16,-3,19,12,37.58617813771782,2.110785146669514e-008
37,-19,-6,-9,9,9,-2,9,37.58617821471096,5.588528040334495e-008
37,-19,-6,-2,-12,-17,-3,-1,37.58617809314878,6.567689325720494e-008
37,-19,-6,19,-18,-13,-13,-5,37.58617822937207,7.054639183934341e-008
37,-19,-5,-14,-16,0,-6,-11,37.58617813834621,2.047946168204362e-008
37,-19,-5,1,-19,-12,-4,-17,37.58617810130065,5.752502119094061e-008
37,-19,-5,4,-5,-3,11,-18,37.58617813805096,2.077471350503402e-008
37,-19,-5,4,14,11,-4,17,37.5861781100036,4.882207349510281e-008
37,-19,-5,8,-6,-13,19,-17,37.58617808527865,7.354702091788568e-008
37,-19,-5,10,-12,-7,-9,-5,37.5861781789928,2.016712841168555e-008
37,-19,-5,16,-4,-18,-8,19,37.58617825051304,9.168736170295233e-008
37,-19,-5,18,-18,-12,-16,-3,37.58617822348682,6.466114399472644e-008
37,-19,-4,-16,-18,-1,-13,-18,37.58617825715572,9.833004099846221e-008
37,-19,-4,-15,-9,-16,-10,10,37.58617808122414,7.760153408753467e-008
37,-19,-4,-15,10,8,-9,19,37.58617806939937,8.942630813635333e-008
37,-19,-4,-12,13,-1,11,-2,37.58617812142769,3.7397988705834e-008
37,-19,-4,-11,16,-9,8,14,37.58617823471613,7.58904548092687e-008
37,-19,-4,11,-8,-13,-5,4,37.58617820978694,5.09612618770916e-008
37,-19,-4,17,-18,-11,-19,-1,37.58617821797726,5.915158141078791e-008
37,-19,-4,19,-11,-16,2,-5,37.58617819529673,3.647105017989816e-008
37,-19,-3,-8,11,19,6,-6,37.58617809313292,6.569275967649446e-008
37,-19,-3,-7,-19,-18,4,-19,37.58617825737916,9.855348537257669e-008
37,-19,-3,-4,-3,-11,4,1,37.58617821061697,5.179129658472448e-008
37,-19,-3,16,9,-13,16,13,37.58617808549497,7.333070328741087e-008
37,-19,-3,18,-11,-15,-1,-3,37.58617821642836,5.760268351195919e-008
37,-19,-2,-19,-5,-4,-12,6,37.58617812134592,3.747975085843791e-008
37,-19,-2,-16,4,-11,7,9,37.58617813057607,2.824960887437555e-008
37,-19,-2,-4,-9,-1,-8,-8,37.58617819429508,3.54694051907245e-008
37,-19,-2,1,14,9,2,13,37.58617818612801,2.730233461534226e-008
37,-19,-2,9,-14,0,7,-11,37.58617814646193,1.236374913560212e-008
37,-19,-2,17,-11,-14,-4,-1,37.58617823930568,8.048000665894506e-008
37,-19,-1,-19,18,15,-3,19,37.58617821413196,5.530628044425612e-008
37,-19,-1,-8,8,17,-7,4,37.58617815406073,4.764949323998735e-009
37,-19,-1,-6,-19,-12,-9,-12,37.58617817519798,1.637230440110216e-008
37,-19,-1,-5,11,11,9,-1,37.58617806944391,8.938176421224853e-008
37,-19,-1,-1,-8,10,-5,-16,37.58617808530357,7.352210218414257e-008
37,-19,-1,4,-16,-1,-17,-10,37.5861780996933,5.913237544064032e-008
37,-19,-1,4,4,18,8,-19,37.58617821878248,5.995680396608805e-008
37,-19,-1,13,-8,-13,9,-10,37.58617812495685,3.386882951872394e-008
37,-19,0,-8,-12,-12,-18,9,37.58617817250381,1.367813950992058e-008
37,-19,0,7,-4,10,-13,-2,37.58617815208176,6.743910319073621e-009
37,-19,0,18,-3,19,-17,-7,37.58617810016519,5.866048269353996e-008
37,-19,0,18,16,4,13,10,37.58617824516796,8.63422826569149e-008
37,-19,1,6,-8,-9,-17,12,37.5861781702428,1.141712857588573e-008
37,-19,2,-19,-4,7,-17,-6,37.58617812372812,3.509755686081917e-008
37,-19,2,-18,-15,2,-19,-10,37.58617816352324,4.697568556366605e-009
37,-19,2,8,2,-2,17,-11,37.58617821082628,5.200060115839733e-008
37,-19,2,19,13,16,15,-9,37.58617814582249,1.300318785979471e-008
37,-19,3,-16,-19,-19,2,-16,37.58617823344672,7.462104179012385e-008
37,-19,3,-16,-16,1,-12,-18,37.58617813812629,2.069938176418873e-008
37,-19,3,-13,-19,-13,-11,-9,37.58617818431848,2.549280964103673e-008
37,-19,3,-6,-15,-19,-8,1,37.58617811098092,4.784475748920158e-008
37,-19,3,9,3,-19,17,7,37.58617820393744,4.511176854293808e-008
37,-19,3,10,13,6,1,15,37.58617820128433,4.245865170560137e-008
37,-19,3,19,-11,-6,1,-14,37.58617818169573,2.287005429479905e-008
37,-19,4,-19,-17,6,-17,-15,37.58617824906194,9.023626290627362e-008
37,-19,4,-18,-13,-2,-3,-19,37.5861781984974,3.967172546026632e-008
37,-19,4,-17,6,-4,-8,19,37.586178251756,9.293032121604483e-008
37,-19,4,-11,11,19,-11,11,37.58617807629078,8.253489625076327e-008
37,-19,4,-7,12,-4,19,6,37.58617816118118,2.355506012463593e-009
37,-19,4,17,19,1,17,14,37.5861781105679,4.825777466521686e-008
37,-19,4,18,-14,-19,-14,9,37.58617822418839,6.536271968116125e-008
37,-19,4,19,3,19,-2,-12,37.58617807635564,8.247003790984309e-008
37,-19,5,-18,-4,19,-6,-19,37.58617825830977,9.948409740445641e-008
37,-19,5,-12,11,18,-8,9,37.5861780905902,6.823547238354877e-008
37,-19,5,-9,-16,-9,-2,-17,37.58617825098991,9.216423535463036e-008
37,-19,5,-5,3,3,7,-19,37.58617823907277,8.024709785559026e-008
37,-19,5,17,-14,-18,-17,11,37.58617809256141,6.626426340972103e-008
37,-19,6,-17,-13,-10,-1,-12,37.58617810136462,5.746105813386748e-008
37,-19,6,-13,11,17,-5,7,37.58617810606931,5.275636993928856e-008
37,-19,6,-12,-9,-13,1,-4,37.58617824706283,8.823715091921258e-008
37,-19,6,4,-18,-18,-8,-5,37.58617817574998,1.692430373623211e-008
37,-19,6,4,7,6,6,0,37.58617819764249,3.881681465145448e-008
37,-19,6,6,-10,-1,-3,-14,37.58617821134681,5.252113055576047e-008
37,-19,7,-14,-12,-14,-10,3,37.58617812926931,2.95563609142846e-008
37,-19,7,-14,11,16,-2,5,37.58617812283882,3.598685083261444e-008
37,-19,7,-6,-12,-14,5,-12,37.58617817111591,1.229023638416038e-008
37,-19,7,3,14,-13,19,17,37.58617811558813,4.323754154711423e-008
37,-19,7,8,-16,2,-11,-19,37.58617807465391,8.417176644570645e-008
37,-19,7,8,-15,-3,-13,-10,37.58617811674622,4.207945636380828e-008
37,-19,7,11,-18,-7,-14,-10,37.58617807744052,8.138515994460249e-008
37,-19,7,13,3,13,-9,1,37.5861781515719,7.253774469972996e-009
37,-19,7,19,9,13,-8,10,37.5861781514624,7.363276210980985e-009
37,-19,8,-15,11,15,1,3,37.58617814102247,1.78032024678032e-008
37,-19,8,-14,6,3,-3,11,37.5861782516404,9.281472301836402e-008
37,-19,8,10,-18,-6,-17,-8,37.5861782283479,6.952222975087352e-008
37,-19,8,15,-11,-4,-1,-14,37.58617810479192,5.403375524792864e-008
37,-19,9,-16,-11,-1,-11,-8,37.58617813022256,2.860311099084356e-008
37,-19,9,-16,11,14,4,1,37.58617816075881,1.933138094045717e-009
37,-19,9,-14,1,-17,16,2,37.58617808403105,7.479462027504269e-008
37,-19,9,-12,9,-6,6,5,37.58617822728527,6.845959887868958e-008
37,-19,9,1,-11,-18,-13,12,37.58617813923189,1.959378437277337e-008
37,-19,10,-17,11,13,7,-1,37.58617818220357,2.337789339890151e-008
37,-19,10,5,-18,-14,-3,-14,37.5861781298147,2.901097673202457e-008
37,-19,11,-18,11,12,10,-3,37.58617820553221,4.670653908078748e-008
37,-19,11,-17,5,4,-10,16,37.58617814323809,1.55875810037287e-008
37,-19,11,-12,11,9,-6,16,37.58617811831828,4.050739477179377e-008
37,-19,11,4,-6,-2,0,-9,37.58617817496838,1.6142706726896e-008
37,-19,11,8,-11,-11,4,-12,37.58617809518562,6.364005855630239e-008
37,-19,12,-19,11,11,13,-5,37.58617823094316,7.211747998780993e-008
37,-19,12,-18,-12,-18,4,-7,37.58617824534934,8.652366290107239e-008
37,-19,12,-16,14,18,0,6,37.58617822365441,6.482873260438282e-008
37,-19,12,-14,-14,2,-14,-13,37.58617807644431,8.238136928184758e-008
37,-19,12,-11,-12,-10,-7,-4,37.58617809816269,6.066298396945058e-008
37,-19,12,-3,-15,-9,-9,-8,37.58617808073852,7.808715452028991e-008
37,-19,12,-2,-11,0,-1,-19,37.58617825110908,9.228340758227205e-008
