b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
32,-18,12,19,5,0,8,-2.361238495721519e-312,33.02354253865599,0.507768528637942
32,-18,12,19,8,0,8,-2.361255836857513e-312,33.02366368836144,0.507789653532518
32,-12,-9,13,2,0,12,-0.0003666072701900289,33.2261375281447,0.5788712678601644
32,-12,-8,13,-10,0,12,-0.0003666071951703051,33.22613557985712,0.5788702881332524
32,-12,-10,13,7,0,12,-0.0003666072165078802,33.22613752755681,0.5788712675181485
32,-12,-9,13,-4,0,12,-0.0003568096527347651,32.33180546198435,0.7837569076101405
32,-12,-9,13,-1,0,12,-0.0003640724104078449,32.99475467146417,0.5039121641751917
32,-12,-10,13,10,0,12,-0.0003666072159307666,33.22613747487771,0.5788712410288294
32,-12,-8,13,-17,0,12,-0.0003627326700804499,32.87246740829291,0.5042627247235555
32,-12,-10,13,-19,0,12,-0.0003638312096934981,32.97273776802948,0.5017802887161956
32,-12,-8,13,-14,0,12,-0.001796055223581738,32.87246731415378,0.5056850048435618
32,-12,-10,13,8,0,12,-0.0003666041429932416,33.22585697630247,0.5787302450635021
32,-12,-10,13,11,0,12,-0.000818295041474172,33.22612971886896,0.5792578196344229
32,-12,-10,13,-16,0,12,-0.0003660834803212499,33.17832584468908,0.5563665304516611
32,-12,-10,13,-15,0,12,-0.0003664325042564077,33.21018484747927,0.5710160898145012
32,-12,-8,13,-4,0,12,-0.000366502336597225,33.21656406038417,0.5741169556508482
32,-12,-8,13,-16,0,12,-0.0003616409095079414,32.7728109050956,0.5260105091269239
32,-12,-10,13,6,0,12,-0.0003666072071763582,33.22613667577293,0.5788708392049715
32,-12,-8,13,-18,0,12,-0.0003600157498639557,32.62446530287277,0.5889229130659011
32,-12,-9,13,-19,0,12,-0.0003651965239342411,33.09736418279998,0.5260299062371844
32,-12,-9,13,9,0,12,-0.0003666072165143208,33.2261375281447,0.578871267813768
32,-12,-10,13,14,0,13,-0.0003716617631473933,33.66767626339548,0.8871843454900336
32,-12,-10,13,-12,0,12,-0.0003666072435099874,33.22613509278359,0.578870043259461
32,-12,-9,13,-5,0,12,-0.000366607270190102,33.22613752815138,0.5788712678635194
32,-12,-8,13,-7,0,12,-0.0003666072165091829,33.22613752767572,0.5788712675779413
32,-12,-9,13,6,0,12,-0.0003641068896260333,32.99790195332511,0.5042947065064487
32,-12,-8,13,-15,0,12,-0.0003616409095079677,32.77281090509801,0.526010509126181
32,-12,-8,13,-13,0,12,-0.0003666072141131854,33.2261373089684,0.5788711576025055
32,-12,-9,13,4,0,12,-0.000366607270190102,33.22613752815138,0.5788712678635194
32,-12,-10,13,-6,0,12,-0.000366476126156466,33.21417156401652,0.57294763223914
32,-12,-9,13,-3,0,12,-0.000366332036918814,33.20101905732317,0.5666567231257335
32,-12,-10,13,-18,0,12,-0.001761499419987672,32.23542659542696,0.8609609310345817
32,-12,-9,13,-18,0,12,-0.000366606294452239,33.22605336206649,0.578828950054141
