b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
14,1,7,-19,-13,0,7,0.4618875611013794,13.85574640702322,0.2815700488688689
21,-17,3,14,2,0,-18,2.907776157414658e-312,21.02333196922462,0.5000016701152107
30,19,2,-18,1,0,-7,0.0002047708880600146,29.71842314598044,0.8653733782726855
32,-12,-10,13,-5,0,12,-4.917527800976561e-312,32.90999642344706,0.5006278682424615
37,-18,12,19,2,0,9,-0.0002758164715161217,37.58591562796375,0.5002758853559659
