b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
21,-18,10,19,-2,0,5,-0.0007499883261743386,20.63967328812484,0.6300433135234069
21,-18,10,19,-9,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,10,19,19,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,10,19,-6,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,-17,0,5,-0.002160212995880738,20.64209492864634,0.6297006132029727
21,-18,10,19,-8,0,5,-0.0007631613948824359,21.00391314429983,0.5010911230624933
21,-18,12,19,3,0,5,-0.0007512848148533067,20.67552159873005,0.6089553360616282
21,-18,10,19,1,0,5,-0.0001514721796026502,20.64021694215207,0.6292376870286781
21,-18,11,19,9,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,10,19,-5,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,11,19,12,0,5,-0.0001514682310742629,20.63967331426666,0.6295677066758433
21,-18,11,19,-10,0,5,-0.0007506810228344103,20.6588265245621,0.618607315571488
21,-18,11,19,-16,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,15,0,5,-0.0001514682310742629,20.63967331426666,0.6295677066758433
21,-18,10,19,4,0,5,-0.000749999560867765,20.63998393164441,0.629854844713158
21,-18,11,19,-7,0,5,-0.001567711382101279,20.6859345005244,0.6037688573098307
21,-18,11,19,18,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,10,19,18,0,5,-0.002160213023830761,20.64209509540461,0.6297005126077467
21,-18,10,19,-4,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,10,19,-10,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,-13,0,5,-0.001561622657774618,20.64209502568297,0.6292233072114664
21,-18,11,19,4,0,5,-0.0007645044291056911,21.04105335990516,0.5011253440881577
21,-18,10,19,2,0,5,-0.0007499883261743386,20.63967328812484,0.6300433135234069
21,-18,12,19,1,0,5,-0.000765852452170378,21.07832660540686,0.5039193006773534
21,-18,10,19,-1,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,10,19,5,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,11,19,-9,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,10,19,-7,0,5,-0.000760193581450951,20.92185208145364,0.5106841666990107
21,-18,11,19,-18,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,-15,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,7,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,11,19,13,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,10,19,17,0,5,-0.0001514682310742629,20.63967331426666,0.6295677066758433
21,-18,12,19,4,0,5,-0.0007861932349225542,21.64075426756019,0.7959865596929304
21,-18,11,19,16,0,5,-0.0001514682310742629,20.63967331426666,0.6295677066758433
21,-18,10,19,-3,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,12,19,-1,0,5,-0.0001557709877404982,21.22876406962004,0.541193852110287
21,-18,11,19,10,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,11,19,-14,0,5,-0.0007535646546446116,20.73855999987679,0.5754257885967933
21,-18,11,19,19,0,5,-0.0001514806897824083,20.64138206794614,0.6285313754005376
21,-18,12,19,6,0,5,-0.0007552017347823128,20.78382584480273,0.5545282532941529
21,-18,11,19,14,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,12,19,-18,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,12,19,10,0,5,-0.000778671011340971,21.43275808028264,0.6476641996723153
21,-18,10,19,0,0,5,-0.0001514704778646655,20.63998395778662,0.62937908830373
21,-18,11,19,-4,0,5,-0.002197427273601168,20.86319131155011,0.5267210333955492
21,-18,12,19,5,0,5,-0.0007587182651147394,20.88106406597666,0.5202243804776645
21,-18,10,19,3,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
21,-18,11,19,17,0,5,-0.0007499881518937683,20.63967328812485,0.6300433133848846
21,-18,11,19,-12,0,5,-0.0007499883293079156,20.63967328812484,0.6300433135258975
21,-18,11,19,-11,0,5,-0.000751573541007142,20.68350498369216,0.6044483857977603
21,-18,11,19,-8,0,5,-0.001580004979429399,20.7741806276802,0.5594788564140293
21,-18,10,19,6,0,5,-0.0007820764913137253,21.52692034394262,0.7111168782900458
21,-18,10,19,14,0,5,-0.0007500445076799447,20.64122664133145,0.6291018566923497
21,-18,11,19,3,0,5,-0.001410136677935293,20.64209504572538,0.6291025504227531
21,-18,12,19,-17,0,5,-0.0007521514925844385,20.69949047694486,0.5956430802246883
21,-18,12,19,-19,0,5,-0.0001514682088974944,20.63967331426666,0.6295677066582253
