b0,A,AI,B,BI,C,CI,ResultReal,ResultImag,Delta
37,-18,11,19,-17,0,9,-0.0002739429153784412,37.32940804706334,0.5623210010790471
37,-18,10,19,-6,0,9,-0.0003909129170519665,37.16036050747712,0.6570477440262343
37,-18,10,19,-8,0,9,-0.0002738974688512171,37.32318598380489,0.5651892219521153
37,-18,10,19,-5,0,9,-0.0002726469000605733,37.15197112201622,0.6624262012113041
37,-18,10,19,19,0,9,-0.000273429212486627,37.25908269105097,0.5977164453273588
37,-18,11,19,4,0,9,-0.0002726472685612595,37.15202703858588,0.6623895506501931
37,-18,12,19,-7,0,9,-0.00118664191601368,38.07087110611106,0.6972196950626446
37,-18,10,19,16,0,9,-0.0002752823263808743,37.51278612608814,0.5056300511006914
37,-18,12,19,-6,0,9,-0.0002768910995686242,37.73304227063364,0.5213885644175483
37,-18,11,19,-18,0,9,-0.0002733073455591465,37.24239245977539,0.6070106991758535
37,-18,11,19,7,0,9,-0.000272643026518481,37.15144079676987,0.6627739368200739
37,-18,11,19,18,0,9,-0.0002728946304037758,37.18588779132631,0.6407069122575944
37,-18,11,19,15,0,9,-0.0002726427784832789,37.15141230354414,0.6627926267176265
37,-18,11,19,14,0,9,-0.0002726652801800214,37.15448753750434,0.6607794883040311
37,-18,11,19,-10,0,9,-0.000272786652060827,37.17110451705133,0.6500453746935155
37,-18,11,19,-13,0,9,-0.0002727147147300626,37.16125560369681,0.65637791472999
37,-18,11,19,12,0,9,-0.00027264281593903,37.15141196641338,0.6627928478904437
37,-18,11,19,-7,0,9,-0.0002755491359960202,37.54931487897039,0.5016318634865725
37,-18,11,19,-12,0,9,-0.0002726473084800996,37.15202703858575,0.6623895506804258
37,-18,11,19,-11,0,9,-0.000272643267380411,37.15147923828348,0.6627487224599399
37,-18,10,19,17,0,9,-0.000279066091264107,38.03081874404069,0.6693163631568425
37,-18,11,19,9,0,9,-0.0002755491359967422,37.54931487906924,0.5016318634793089
37,-18,11,19,-16,0,9,-0.0002726562940275309,37.15325724662885,0.6615838925282336
37,-18,11,19,10,0,9,-0.0002733635420029982,37.25008629165654,0.6026866361940191
37,-18,10,19,-4,0,9,-0.0002731665964841198,37.22312256109855,0.6181283105128531
37,-18,11,19,-14,0,9,-0.0002728946304037186,37.18588779131849,0.6407069122624773
37,-18,11,19,6,0,9,-0.0002767293251800447,37.71089939452074,0.5155891703067518
37,-18,11,19,-15,0,9,-0.0002736529171630608,37.28970452137642,0.5815241572845219
37,-18,11,19,13,0,9,-0.0002726473084801006,37.15202703858588,0.662389550680342
37,-18,10,19,-3,0,9,-0.0002727735696785482,37.16931341296003,0.6511904977199282
37,-18,10,19,-1,0,9,-0.0002727408693235859,37.16483641946991,0.6540654986927862
37,-18,11,19,-8,0,9,-0.0002727506786034511,37.16617940435268,0.6532011779156609
37,-18,12,19,2,0,9,-0.0002758164715161217,37.58591562796375,0.5002758853559659
37,-18,10,19,8,0,9,-0.0002727408693235859,37.16483641946991,0.6540654986927862
37,-18,11,19,-2,0,9,-0.0002739429153778795,37.32940804698643,0.5623210011141653
37,-18,11,19,-6,0,9,-0.001349983163569968,37.15152724325541,0.6635308764663349
37,-18,12,19,-17,0,9,-0.000272799695776881,37.17289579568045,0.6489030634866468
37,-18,11,19,3,0,9,-0.00111308337591796,37.2500862603524,0.6033838633489356
37,-18,10,19,6,0,9,-0.0002727735696785482,37.16931341296003,0.6511904977199282
37,-18,12,19,5,0,9,-0.0002784099601623992,37.94098836523869,0.6133259900306798
37,-18,12,19,-18,0,9,-0.0002784099601623992,37.94098836523869,0.6133259900306798
37,-18,11,19,19,0,9,-0.001349983158629643,37.15152724325552,0.6635308764625323
37,-18,12,19,8,0,9,-0.0002746441146387284,37.42540889766447,0.5254726204840255
37,-18,10,19,9,0,9,-0.0002728717186537842,37.18275095233543,0.6426713445565698
37,-18,12,19,-13,0,9,-0.0002734292145238908,37.25908296997194,0.5977162926918781
37,-18,10,19,7,0,9,-0.001350039661743606,37.15308943910047,0.6625086425263065
37,-18,12,19,9,0,9,-0.0002732278364542165,37.23150690070567,0.6132413911555004
37,-18,11,19,-5,0,9,-0.00027336354200222,37.25008629155,0.6026866362534343
37,-18,12,19,7,0,9,-0.0002726430456625706,37.15144341778025,0.6627722176221069
37,-18,12,19,-14,0,9,-0.0002726428525917161,37.15142244970495,0.6627859713359803
37,-18,10,19,12,0,9,-0.0002726795775677038,37.15644498764939,0.6595023520359442
37,-18,11,19,1,0,9,-0.004571945453137449,37.15596293627753,0.6630821863468491
37,-18,11,19,0,0,9,-0.0002736529171626448,37.28970452131948,0.5815241573135522
37,-18,12,19,10,0,9,-0.0002726428159336745,37.15141196568018,0.6627928483713961
37,-18,11,19,2,0,9,-0.0002749628458004017,37.46904621436781,0.5138043702255229
37,-18,12,19,15,0,9,-0.0002727997357178993,37.17289579566128,0.6489030635296444
37,-18,11,19,-3,0,9,-0.0002728226352664808,37.17603096428572,0.6469108271287908
37,-18,12,19,13,0,9,-0.0002726477169008689,37.15208295532543,0.6623529027305616
37,-18,12,19,11,0,9,-0.0002726428398637542,37.15141524193874,0.6627906992965586
37,-18,10,19,14,0,9,-0.00134997994066464,37.15143812870524,0.6635892526070758
37,-18,12,19,-16,0,9,-0.0002771070504757619,37.76260796175297,0.5304758799415459
37,-18,12,19,14,0,9,-0.0002726869311030773,37.15745175749558,0.6588467868076155
37,-18,12,19,-12,0,9,-0.0002803878253153699,38.21177619199547,0.8010326869414024
37,-18,12,19,16,0,9,-0.0002726673225704854,37.15476716044052,0.6605968446773829
37,-18,10,19,15,0,9,-0.0002727408293908029,37.16483641943656,0.6540654986837284
37,-18,12,19,12,0,9,-0.000280387825314795,38.21177619191676,0.8010326868799329
37,-18,11,19,-4,0,9,-3.468868210967889e-312,37.87389648814384,0.5768724616634403
37,-18,10,19,11,0,9,-0.001357789913625272,37.36738673901594,0.5470185727097697
37,-18,11,19,-9,0,9,-3.336936286724654e-312,37.15144079877093,0.6625681642120791
37,-18,12,19,-11,0,9,-3.338022424622864e-312,37.1574517594802,0.6586397539594303
37,-18,12,19,-2,0,9,-3.481252077160299e-312,37.94098836728189,0.6130989186295654
37,-18,10,19,10,0,9,-0.001351923152022929,37.20516865126395,0.6296999251235962
37,-18,12,19,3,0,9,-0.000280387825314795,38.21177619191676,0.8010326868799329
37,-18,10,19,13,0,9,-0.001349990367764065,37.15172644194435,0.6634004123776904
37,-18,11,19,8,0,9,-3.336931085413983e-312,37.15141203337704,0.6625870386882181
37,-18,10,19,-10,0,9,-0.001372202328696597,37.76589480667824,0.5326088234185484
37,-18,12,19,-9,0,9,-3.472072162615677e-312,37.89126613068692,0.5857291785240045
37,-18,12,19,0,0,9,-3.448375897170855e-312,37.76260796382579,0.5302145566583186
37,-18,10,19,2,0,9,-0.0002728717186537842,37.18275095233543,0.6426713445565698
37,-18,12,19,-3,0,9,-3.384016327812595e-312,37.41088677770909,0.5298368317640446
37,-18,10,19,3,0,9,-3.349910435663663e-312,37.22312256310344,0.6179072467492377
37,-18,12,19,-4,0,9,-0.0003691012046524639,37.18902516378197,0.6388268457982464
37,-18,10,19,5,0,9,-3.326927905583145e-312,37.15420792079125,0.6607558448833555
37,-18,10,19,4,0,9,-3.37609928063147e-312,37.36738678835405,0.5457743707731704
37,-18,10,19,0,0,9,-3.424923011215121e-312,37.63482849572877,0.5023612796392498
37,-12,-10,13,13,0,14,-0.0004236677777385566,38.39499582267816,0.9511098047186346
37,-12,-10,13,10,0,14,-0.0004119986822994777,37.32983137950149,0.5622506911468361
37,-12,-10,13,7,0,14,-0.0004181396098402121,37.89038113321074,0.5856259591883654
37,-12,-10,13,-18,0,14,-0.0004181396098373151,37.8903811329463,0.5856259590509983
37,-12,-10,13,8,0,14,-0.0004150460446815818,37.60799780236522,0.500890522122443
37,-12,-9,13,-7,0,14,-0.002061181973122517,37.72043959741612,0.5197033426259871
37,-12,-11,13,19,0,14,-0.0004232679808533772,38.35850216371163,0.9202759453879714
37,-12,-10,13,-17,0,14,-0.002089877237470463,38.24944039517898,0.8318720087830368
37,-12,-10,13,-8,0,14,-0.0004060385023553134,36.78577840220411,0.9439523154108382
37,-12,-9,13,3,0,14,-0.0004135166496797672,37.46839309348537,0.5140885227885544
37,-12,-10,13,-14,0,14,-0.0004119986822954982,37.32983137913823,0.5622506913124559
37,-12,-10,13,11,0,14,-0.0004220732462876259,38.24944050486465,0.830866530235296
37,-12,-10,13,-12,0,14,-0.0004236678397689778,38.39499582271105,0.9511098047792421
37,-12,-10,13,9,0,14,-0.000420490751566255,38.10499505179153,0.7208270499854861
37,-12,-9,13,-6,0,14,-0.002061181970894581,37.72043959742228,0.5197033426254262
37,-12,-10,13,-13,0,14,-0.0004119986822957035,37.32983137915697,0.56225069130391
37,-12,-10,13,12,0,14,-0.0004150461054506577,37.60799780248757,0.5008905221884841
37,-12,-10,13,-7,0,14,-0.0004204907515668772,38.10499505184833,0.720827050026369
